YEAR,unit,n,w,k,ys
1976,1,NA,NA,NA,NA
1977,1,1.6176044532,2.5765434154,-0.5286502198,4.5612935213
1978,1,1.7227665807,2.5097455748,-0.4591823971,4.5783836392
1979,1,1.6124333948,2.55252639,-0.3899363024,4.601245487
1980,1,1.5507489484,2.6249511439,-0.482724193,4.610656133
1981,1,1.4092781817,2.6595389668,-0.6780615245,4.6007413716
1982,1,1.1524689265,2.6992179895,-0.8606195551,4.5912243639
1983,1,1.0770481478,2.6231021791,-0.9364934653,4.6054711203
1984,1,NA,NA,NA,NA
1976,2,NA,NA,NA,NA
1977,2,4.267162775,2.6940121424,2.8294592638,4.5612935213
1978,2,4.2576389923,2.6464300519,2.8473599167,4.5783836392
1979,2,4.2615242697,2.7049386759,2.8645580902,4.601245487
1980,2,4.2770965573,2.7402592215,2.8711549664,4.610656133
1981,2,4.2998535749,2.7848198297,2.8162048518,4.6007413716
1982,2,4.2824686782,2.7807676308,2.7879021557,4.5912243639
1983,2,4.2270964515,2.7914779109,2.8547215688,4.6054711203
1984,2,NA,NA,NA,NA
1976,3,NA,NA,NA,NA
1977,3,2.9526159896,3.1220124146,1.9597425879,4.5612935213
1978,3,2.9673328265,3.0298341372,1.9382955012,4.5783836392
1979,3,2.9907197126,3.0542275547,1.9251971292,4.601245487
1980,3,3.0076608331,3.0999571673,1.8953233422,4.610656133
1981,3,2.9739977658,3.2137185825,1.8267404637,4.6007413716
1982,3,2.8972922007,3.2126444445,1.7430243186,4.5912243639
1983,3,2.8243506794,3.3641079813,1.9937611065,4.6054711203
1984,3,NA,NA,NA,NA
1976,4,NA,NA,NA,NA
1977,4,3.2642315208,2.6965375492,2.1389125622,4.7725667307
1978,4,3.2861605631,2.6971847292,2.1681389537,4.7887833913
1979,4,3.3061538581,2.6997222774,2.2177785714,4.7777099024
1980,4,3.3261145728,2.7234772613,2.2410925669,4.717752138
1981,4,3.3020766405,2.8479801972,2.1853656392,4.5804060796
1982,4,3.1988363577,2.9608405481,2.1271001216,4.5239405687
1983,4,3.1162670874,2.9960072754,2.0062120403,4.5261713338
1984,4,NA,NA,NA,NA
1976,5,4.4621885885,3.026857781,3.1081855626,4.5528142352
1977,5,4.4670568663,2.9057091011,3.1032539482,4.56958238
1978,5,4.4659081187,2.8979485342,3.2255336053,4.5932625652
1979,5,4.5042442843,2.9008500017,3.2328378824,4.6099935112
1980,5,4.4908810054,2.9595505856,3.3407181965,4.6063924307
1981,5,4.4152195651,2.9869033973,3.2502155779,4.5903306266
1982,5,4.3000027578,2.9646182379,3.0139699128,4.6002410656
1983,5,NA,NA,NA,NA
1984,5,NA,NA,NA,NA
1976,6,-0.2903522666,3.1436737156,-1.7754924582,4.6325168335
1977,6,-0.2665731447,3.0223401688,-1.8213942923,4.6730811431
1978,6,-0.2718086914,3.0415991081,-1.8977868454,4.6883967658
1979,6,-0.3160815849,3.0801928976,-1.9255194973,4.7106017288
1980,6,-0.3133418108,3.1557528053,-1.9186841867,4.6242519497
1981,6,-0.2497442533,3.1832569486,-1.9575779114,4.6001285064
1982,6,-0.2459005317,3.227101862,-2.0706800065,4.5982493193
1983,6,NA,NA,NA,NA
1984,6,NA,NA,NA,NA
1976,7,0.4700036441,3.4291788657,-0.0066218988,4.6517331403
1977,7,0.5007752735,3.3518320628,-0.069350048,4.6772964388
1978,7,0.5187937622,3.3965265195,-0.0356272048,4.6906026537
1979,7,0.5187937622,3.4206535221,-0.0378057325,4.714554471
1980,7,0.5068175823,3.3137713652,-0.0807763125,4.605170186
1981,7,0.4446857846,3.4495683863,-0.0008003337,4.5991168981
1982,7,0.4317823917,3.468008309,-0.1276060923,4.5980760666
1983,7,NA,NA,NA,NA
1984,7,NA,NA,NA,NA
1976,8,2.2132073319,3.4310441459,1.5148195366,4.6517331403
1977,8,2.3846257612,3.1973620267,1.5302648318,4.6772964388
1978,8,2.3748126894,3.3341953658,1.6168702461,4.6906026537
1979,8,2.3941610031,3.358446417,1.5840791201,4.714554471
1980,8,2.3700568038,3.3493916489,1.1700333269,4.605170186
1981,8,2.100958359,3.457439064,1.0417950076,4.5991168981
1982,8,1.5477752975,3.3977347056,0.5599585751,4.5980760666
1983,8,NA,NA,NA,NA
1984,8,NA,NA,NA,NA
1976,9,0.6961427105,3.2612646089,-0.961288082,4.6325168335
1977,9,0.9768211936,3.0889721389,-0.7872381042,4.6730811431
1978,9,0.9976863307,3.1271990129,-0.7920839451,4.6883967658
1979,9,1.0094166946,3.1515387136,-0.7931885372,4.7106017288
1980,9,1.014143121,3.1386934387,-0.7601420751,4.6242519497
1981,9,1.0469680475,3.1906573829,-0.731887996,4.6001285064
1982,9,1.012327954,3.2920667812,-0.7438090659,4.5982493193
1983,9,NA,NA,NA,NA
1984,9,NA,NA,NA,NA
1976,10,1.3410354427,3.1507383058,0.1215979702,4.5577189726
1977,10,1.3699108673,3.0598847801,0.0141987083,4.5719390859
1978,10,1.2607311711,3.0412743123,0.1105569612,4.5974736359
1979,10,1.2584609842,3.0181589027,0.1506589111,4.6124783921
1980,10,1.2432896689,3.1567706201,0.0794579344,4.605170186
1981,10,1.1281710631,3.2563758037,0.0616593278,4.5873360895
1982,10,1.1823405299,3.2594840514,0.0914847286,4.6028023489
1983,10,NA,NA,NA,NA
1984,10,NA,NA,NA,NA
1976,11,0.3067491113,3.1381602008,-0.891842028,4.6517331403
1977,11,0.2971371986,3.00704311,-0.5549516512,4.6772964388
1978,11,0.2911760059,3.0975439714,-0.5864475898,4.6906026537
1979,11,0.3023243823,3.1157173541,-0.6645596811,4.714554471
1980,11,0.2342813417,3.117396639,-0.528480542,4.605170186
1981,11,0.1466943726,3.2564991054,-0.7242251478,4.5991168981
1982,11,0.161268107,3.1794903032,-0.8303424135,4.5980760666
1983,11,NA,NA,NA,NA
1984,11,NA,NA,NA,NA
1976,12,0.5766133482,3.5351190847,-1.3590683262,4.6517331403
1977,12,0.4965238431,3.4143735148,-1.5740707413,4.6772964388
1978,12,0.3293037369,3.4385927356,-1.609938031,4.6906026537
1979,12,0.3001046101,3.5058726956,-1.6059440235,4.714554471
1980,12,0.0788111963,3.4083285841,-1.9152839218,4.605170186
1981,12,-0.248461396,3.3925400067,-2.1558907076,4.5991168981
1982,12,-0.3856624703,3.4379631873,-2.2672179219,4.5980760666
1983,12,NA,NA,NA,NA
1984,12,NA,NA,NA,NA
1976,13,0.8556910781,3.10831518,-0.5473167793,4.8347441894
1977,13,0.8696182893,3.1381298467,-0.5774997932,4.8517559853
1978,13,0.8649974375,3.1567067275,-0.6399856321,4.8317430312
1979,13,0.8816992713,3.2582580627,-0.6577800238,4.8285209302
1980,13,0.8180161769,3.1849922416,-0.7747911868,4.666306654
1981,13,0.5749265213,3.2602979811,-0.980829253,4.5857110681
1982,13,0.4298324261,3.3571200916,-1.1561354513,4.5733430446
1983,13,NA,NA,NA,NA
1984,13,NA,NA,NA,NA
1976,14,NA,NA,NA,NA
1977,14,NA,NA,NA,NA
1978,14,1.1521530435,3.0402897142,-0.9410958788,4.847226531
1979,14,1.1301109416,3.0859705441,-0.841415172,4.8254488586
1980,14,1.0956077586,3.1655172504,-0.8608560144,4.7783938184
1981,14,0.9902843792,3.0630403897,-0.9649558719,4.5987254366
1982,14,0.7770286426,3.2396074603,-1.1871157071,4.5772109217
1983,14,0.5883420657,3.247311661,-1.5891452196,4.5767130655
1984,14,0.3562748452,3.244356448,-1.7808194924,4.6050321607
1976,15,NA,NA,NA,NA
1977,15,1.9768549238,3.1174984717,0.6150775201,4.6571505192
1978,15,1.9907469442,3.0935347639,0.6531061141,4.6838269756
1979,15,1.9596721767,3.1041470877,0.7818445926,4.7068094079
1980,15,1.9742199349,3.0292057087,0.889741388,4.6631305599
1981,15,1.8873726693,3.0733921843,0.7540070518,4.5705073256
1982,15,1.669780117,3.142215053,0.4443011078,4.5218026747
1983,15,1.6852872346,3.2228638339,0.3057184155,4.5244892984
1984,15,NA,NA,NA,NA
1976,16,1.014143121,3.3793504604,-0.0861026783,4.7570325484
1977,16,0.9677440019,3.2983743735,-0.1493124129,4.7510006078
1978,16,0.9734269513,3.3059778604,-0.1602861517,4.7256163661
1979,16,0.9884253431,3.2825789838,-0.6392273254,4.690430044
1980,16,0.8825271246,3.2331376535,-0.6420739171,4.605170186
1981,16,0.7966058597,3.229740585,-0.5691612277,4.4908810054
1982,16,0.7447903884,3.3121693964,-0.6709943548,4.5053498507
1983,16,NA,NA,NA,NA
1984,16,NA,NA,NA,NA
1976,17,NA,NA,NA,NA
1977,17,0.0861777269,3.1753501678,-2.0541637769,4.8454776035
1978,17,0.1345309396,3.1185647275,-1.971125372,4.847226531
1979,17,0.1781462293,3.1389707356,-1.7175800784,4.8254488586
1980,17,0.2303177104,3.2202588402,-1.6955405745,4.7783938184
1981,17,0.2768738781,3.1887752919,-1.7538858477,4.5987254366
1982,17,0.1722711904,3.3487068945,-1.9166426407,4.5772109217
1983,17,0.1510028629,3.3830130502,-2.0826466672,4.5767130655
1984,17,NA,NA,NA,NA
1976,18,NA,NA,NA,NA
1977,18,2.0024255078,3.4001602,0.1564907769,4.7555279544
1978,18,2.0003983612,3.2680887861,0.2345186004,4.7447147002
1979,18,1.9738032033,3.2485433586,0.3027677285,4.716935122
1980,18,1.9274552163,3.1912908097,0.4492905528,4.6697868577
1981,18,1.8133578756,3.191220928,0.2948314827,4.5777990206
1982,18,1.7552683343,3.2789280604,0.1297115847,4.4945179329
1983,18,1.702381656,3.2806480388,-0.0405095138,4.495355303
1984,18,NA,NA,NA,NA
1976,19,3.1583187066,3.5269603741,1.7004114487,4.7570325484
1977,19,3.1144482032,3.411777858,1.6224725746,4.7510006078
1978,19,3.0849328834,3.3738946798,1.6287698374,4.7256163661
1979,19,3.0477078083,3.3546821071,1.743898908,4.690430044
1980,19,2.9568875349,3.3916317545,1.608877758,4.605170186
1981,19,2.7879697745,3.4448154513,1.5398519862,4.4908810054
1982,19,2.7032386743,3.5220216684,1.4213960233,4.5053498507
1983,19,NA,NA,NA,NA
1984,19,NA,NA,NA,NA
1976,20,NA,NA,NA,NA
1977,20,0.0516432078,3.3338103657,-1.9761631439,4.7555279544
1978,20,0.1106465056,3.2795267992,-1.8288384365,4.7447147002
1979,20,0.1177830357,3.2427564147,-1.7749023915,4.716935122
1980,20,0.0392206765,3.2449489628,-1.426699791,4.6697868577
1981,20,-0.005012537,3.2382862094,-1.545524573,4.5777990206
1982,20,-0.0801260682,3.2401284066,-1.6009738243,4.4945179329
1983,20,-0.0965109088,3.2742878382,-1.6734432334,4.495355303
1984,20,NA,NA,NA,NA
1976,21,NA,NA,NA,NA
1977,21,0.6886370533,3.3907092488,-0.8460652711,4.7555279544
1978,21,0.9824529356,3.3367797706,-0.6202685091,4.7447147002
1979,21,1.0773886646,3.2799107342,-0.5635234491,4.716935122
1980,21,1.103599865,3.2404846873,-0.4193104714,4.6697868577
1981,21,0.9936220656,3.2355283902,-0.5155032528,4.5777990206
1982,21,0.5971868067,3.304693825,-0.7064350597,4.4945179329
1983,21,0.4891933494,3.3570608888,-0.9058455046,4.495355303
1984,21,NA,NA,NA,NA
1976,22,0.3364722196,3.3519966336,-1.7059487884,4.7570325484
1977,22,0.3736303498,3.2189357901,-1.6960856913,4.7510006078
1978,22,0.4219943944,3.1542647913,-1.7081538983,4.7256163661
1979,22,0.4440445999,3.1407066598,-1.6109390491,4.690430044
1980,22,0.436963761,3.1467351569,-1.6830844471,4.605170186
1981,22,0.2919230567,2.9986430341,-1.8898134443,4.4908810054
1982,22,0.0305292226,3.0513987118,-2.0249533618,4.5053498507
1983,22,NA,NA,NA,NA
1984,22,NA,NA,NA,NA
1976,23,2.3565997102,3.4814554498,0.2855548165,4.7570325484
1977,23,2.3120402782,3.363935031,0.3043179379,4.7510006078
1978,23,2.1860512339,3.2905748702,0.4678137577,4.7256163661
1979,23,2.1446438531,3.3017710698,0.2534787134,4.690430044
1980,23,1.8637699981,3.3434093671,0.1300629208,4.605170186
1981,23,1.6873244899,3.2920110449,-0.1296531766,4.4908810054
1982,23,1.5494755948,3.3745761848,-0.2695802261,4.5053498507
1983,23,NA,NA,NA,NA
1984,23,NA,NA,NA,NA
1976,24,0.5152159869,3.3174461349,-0.9511410156,4.7570325484
1977,24,0.5766133482,3.2043142943,-0.8906229773,4.7510006078
1978,24,0.5971868067,3.1628809436,-0.7060297844,4.7256163661
1979,24,0.585004998,3.1575024554,-0.7117185798,4.690430044
1980,24,0.5394131001,3.1653189392,-0.8063158712,4.605170186
1981,24,0.258510662,3.0946088104,-1.0752864807,4.4908810054
1982,24,0.1889660537,3.3362640886,-1.1529629006,4.5053498507
1983,24,NA,NA,NA,NA
1984,24,NA,NA,NA,NA
1976,25,-0.2587707098,3.5409535743,-2.7870934139,4.7570325484
1977,25,-0.2382572049,3.4080769933,-2.7551417502,4.7510006078
1978,25,-0.1984509474,3.3966470462,-2.6535620212,4.7256163661
1979,25,-0.1972321939,3.355764061,-2.3454926206,4.690430044
1980,25,-0.1887421137,3.3114878044,-2.4733734555,4.605170186
1981,25,-0.2094872378,3.1459781631,-2.6882475195,4.4908810054
1982,25,-0.2984060577,3.3047525697,-2.8647040106,4.5053498507
1983,25,NA,NA,NA,NA
1984,25,NA,NA,NA,NA
1976,26,1.1268757428,3.3725235357,-0.6875628265,4.7570325484
1977,26,1.1942254887,3.2746208275,-0.6047701113,4.7510006078
1978,26,1.2175797925,3.2621000343,-0.5041811268,4.7256163661
1979,26,1.1996635345,3.2158793202,-0.5817847151,4.690430044
1980,26,1.142310164,3.2311086658,-0.528480542,4.605170186
1981,26,0.996948649,3.2756152378,-0.7433884231,4.4908810054
1982,26,0.9182887802,3.3063847689,-0.609357692,4.5053498507
1983,26,NA,NA,NA,NA
1984,26,NA,NA,NA,NA
1976,27,NA,NA,NA,NA
1977,27,NA,NA,NA,NA
1978,27,1.8832745491,3.2571807382,0.5569837282,4.7256163661
1979,27,1.8526977446,3.2475799179,0.6403263895,4.690430044
1980,27,1.7495475952,3.2599064402,0.5178409823,4.605170186
1981,27,1.5830939136,3.2553890627,0.4642998588,4.4908810054
1982,27,1.482740307,3.3256257938,0.3889291198,4.5053498507
1983,27,1.9925210847,2.9594105601,0.3639484352,4.4647580498
1984,27,1.9664128087,3.466947646,0.3401796447,4.4704953001
1976,28,NA,NA,NA,NA
1977,28,-0.4796499778,2.5827061276,-3.3932292477,4.5427626934
1978,28,-0.3202052491,2.6144791735,-3.2314545611,4.5870061843
1979,28,-0.2574762279,2.6707497723,-3.1304072133,4.6305133557
1980,28,-0.3438997646,2.6680959121,-2.857710987,4.6251365327
1981,28,-0.4292456016,2.7141316901,-2.9132310699,4.6000742157
1982,28,-0.6520051841,2.7957190899,-3.119030503,4.5460388944
1983,28,-0.6991652351,2.8412515044,-3.2289261661,4.5957085274
1984,28,NA,NA,NA,NA
1976,29,NA,NA,NA,NA
1977,29,0.1043600282,3.3327472079,-2.0858620985,4.5612182666
1978,29,0.1301507355,3.3347512534,-1.9704077423,4.6071681582
1979,29,0.1789826388,3.3584499338,-1.8024160199,4.6288867275
1980,29,0.211880312,3.3718269461,-1.8369660654,4.6161101109
1981,29,0.0525924691,3.3888109576,-1.9611253323,4.5741953502
1982,29,-0.0629397886,3.4248943901,-1.9834043195,4.564868921
1983,29,-0.0932123671,3.5040968713,-1.9653988093,4.6381212714
1984,29,NA,NA,NA,NA
1976,30,0.1213322396,3.4585948637,-1.8091091006,4.7570325484
1977,30,0.1663615324,3.2906679669,-1.7498500287,4.7510006078
1978,30,0.1621188487,3.2619698214,-1.5735882241,4.7256163661
1979,30,0.1731126265,3.315668545,-1.5582696168,4.690430044
1980,30,0.1388920412,3.304473519,-1.5506974212,4.605170186
1981,30,-0.0439518696,3.2053568912,-1.6825463696,4.4908810054
1982,30,-0.115410882,3.2111702025,-1.6884811252,4.5053498507
1983,30,NA,NA,NA,NA
1984,30,NA,NA,NA,NA
1976,31,0.5827741279,3.1485563848,-1.7231666965,4.6517331403
1977,31,0.5905605627,3.0411644136,-1.4097676922,4.6772964388
1978,31,0.7241612165,3.0844434964,-1.0981124201,4.6906026537
1979,31,0.6851149925,3.1559658597,-1.1453894633,4.714554471
1980,31,0.4434029272,3.215666717,-1.2928039729,4.605170186
1981,31,0.2507586924,3.3357126393,-1.3935204089,4.5991168981
1982,31,0.1052604583,3.3213710181,-1.7384083184,4.5980760666
1983,31,NA,NA,NA,NA
1984,31,NA,NA,NA,NA
1976,32,NA,NA,NA,NA
1977,32,0.5715443744,3.0534397418,-1.7533083039,4.564868921
1978,32,0.5810976698,3.0462733033,-1.7550418506,4.6111522425
1979,32,0.6211139464,3.0450509061,-1.824489272,4.6285614568
1980,32,0.6227246963,3.048296218,-1.9255194973,4.6142954466
1981,32,0.509224363,2.9388920109,-2.1387670304,4.5689387201
1982,32,0.4127717079,3.0269353392,-2.2681836553,4.5685923214
1983,32,0.402794914,3.1401139903,-2.3227878265,4.6463917589
1984,32,NA,NA,NA,NA
1976,33,2.5899421481,3.1935703021,0.6349882477,4.5390303672
1977,33,2.603356117,3.1565918404,0.6014155888,4.5829246082
1978,33,2.5991277689,3.1533982236,0.6757975492,4.6308379179
1979,33,2.4639383778,3.123993532,0.6279684755,4.6269316479
1980,33,2.3708043626,3.1890968179,0.4996231205,4.605170186
1981,33,2.1771352535,3.4556540278,0.2941610442,4.5422304025
1982,33,1.8378475722,3.2204985005,0.0593061116,4.5870061843
1983,33,NA,NA,NA,NA
1984,33,NA,NA,NA,NA
1976,34,NA,NA,NA,NA
1977,34,0.1947441043,2.7202883428,-2.1964249209,4.5612182666
1978,34,0.2669690265,2.7183898952,-2.118598251,4.6071681582
1979,34,0.3300229363,2.827727713,-2.0842531204,4.6288867275
1980,34,0.3414597395,2.8181355221,-2.0241960601,4.6161101109
1981,34,0.1449657859,2.8187325293,-2.1982250648,4.5741953502
1982,34,0.1773090198,2.8440368792,-2.3258537219,4.564868921
1983,34,0.300845023,2.882686736,-2.3475824431,4.6381212714
1984,34,NA,NA,NA,NA
1976,35,NA,NA,NA,NA
1977,35,1.6813864387,3.247377731,0.6052444796,4.5501858938
1978,35,1.7690024431,3.214040162,0.7462138861,4.5951198501
1979,35,1.8026994068,3.3375153594,0.7953426691,4.6298627986
1980,35,1.9056832121,3.3571688598,0.8034802991,4.6215355551
1981,35,2.6486540073,3.3695519128,1.4662139639,4.5898026934
1982,35,2.5386053586,3.4290492125,1.4882867341,4.553613683
1983,35,2.5015179331,3.4749371678,1.516927783,4.6128903241
1984,35,NA,NA,NA,NA
1976,36,-0.7528972148,3.1781829654,-2.1848020838,4.5390303672
1977,36,-0.7381445774,3.1407672108,-2.0302704799,4.5829246082
1978,36,-0.8164453931,3.1653357618,-1.9200475365,4.6308379179
1979,36,-0.7962879284,3.1518082294,-1.7487000085,4.6269316479
1980,36,-0.889162032,3.1525265833,-1.6466207107,4.605170186
1981,36,-0.9519178904,3.1730538731,-1.7649227732,4.5422304025
1982,36,-1.0216512078,3.1340932411,-1.8721022493,4.5870061843
1983,36,NA,NA,NA,NA
1984,36,NA,NA,NA,NA
1976,37,NA,NA,NA,NA
1977,37,2.6672281801,3.4725780624,0.4929263725,4.7555279544
1978,37,2.6891391669,3.4340388246,0.4632936906,4.7447147002
1979,37,2.6697943747,3.4661920127,0.558472292,4.716935122
1980,37,2.5979376621,3.397564093,0.5752079015,4.6697868577
1981,37,2.4593323602,3.4067552444,0.7564975002,4.5777990206
1982,37,2.3065771105,3.4671847952,0.8124402255,4.4945179329
1983,37,2.206844809,3.5903869739,0.7563097285,4.495355303
1984,37,NA,NA,NA,NA
1976,38,2.0092873063,3.2737995566,0.7353442287,4.6650858307
1977,38,2.0643279184,3.1286053308,0.723870403,4.6910496614
1978,38,2.1108190912,3.1095340908,0.8117299232,4.6808563059
1979,38,2.0994892005,3.2372538827,0.8714606879,4.6498261301
1980,38,2.0084824717,3.3108677529,0.7060139905,4.605170186
1981,38,1.7805300021,3.323581715,0.3293037369,4.5298321861
1982,38,1.6170091991,3.3245214943,0.3311725463,4.5002384351
1983,38,NA,NA,NA,NA
1984,38,NA,NA,NA,NA
1976,39,NA,NA,NA,NA
1977,39,0.3947411229,3.4566383754,-1.4537170066,4.7555279544
1978,39,0.4388998836,3.2799784172,-1.2245156614,4.7447147002
1979,39,0.4421184221,3.2468100248,-1.0647907535,4.716935122
1980,39,0.4855078158,3.3108896731,-1.061027521,4.6697868577
1981,39,0.3414597395,3.3252230743,-1.2046396648,4.5777990206
1982,39,-0.2057949001,3.3140150916,-1.5769707441,4.4945179329
1983,39,-0.3581045354,3.3713668248,-1.7475512239,4.495355303
1984,39,NA,NA,NA,NA
1976,40,2.5774098716,3.2628085279,0.5119849294,4.6686669431
1977,40,2.556762091,3.1717883919,0.507720795,4.6846216639
1978,40,2.4988917074,3.1517183989,0.4898675206,4.6834146846
1979,40,2.5160822765,3.1944232462,0.4707533385,4.6576744092
1980,40,2.5386053586,3.3045322766,0.6550818008,4.6165225113
1981,40,2.5444326339,3.359458287,0.5997701184,4.5492059656
1982,40,2.5010260066,3.3647097416,0.5230111099,4.5077194034
1983,40,NA,NA,NA,NA
1984,40,NA,NA,NA,NA
1976,41,NA,NA,NA,NA
1977,41,2.5200324438,3.3347761893,0.3293037369,4.7555279544
1978,41,2.6556334833,3.2482676554,0.44622309,4.7447147002
1979,41,2.6903613698,3.2369750488,0.6542504019,4.716935122
1980,41,2.6965847549,3.2667131688,0.7998018766,4.6697868577
1981,41,2.7020992125,3.2934450891,0.8233856185,4.5777990206
1982,41,2.626406238,3.3309751498,0.7932639263,4.4945179329
1983,41,2.5745950269,3.3942197918,0.7714961964,4.495355303
1984,41,NA,NA,NA,NA
1976,42,0.2053868662,3.1783038207,-1.2616019321,4.6650858307
1977,42,0.5905605627,3.1510337573,-1.2289487704,4.6910496614
1978,42,0.5440669863,3.0551420069,-1.2033064081,4.6808563059
1979,42,0.5760514333,3.1128128191,-1.1181009489,4.6498261301
1980,42,0.273075928,3.1786786097,-1.310074308,4.605170186
1981,42,-0.3581045354,3.1239319567,-1.6933631546,4.5298321861
1982,42,-0.5008752827,3.2095484788,-2.044074385,4.5002384351
1983,42,NA,NA,NA,NA
1984,42,NA,NA,NA,NA
1976,43,NA,NA,NA,NA
1977,43,2.4908886842,2.9299662945,0.8598896861,4.8454776035
1978,43,2.882507541,2.7572656438,0.8926945105,4.847226531
1979,43,2.8735081072,2.7803832825,0.8426441876,4.8254488586
1980,43,2.8858616373,2.8094086932,0.81292818,4.7783938184
1981,43,2.3963486047,3.1987057366,0.845181292,4.5987254366
1982,43,2.2907149173,3.3399742137,0.7059646792,4.5772109217
1983,43,2.190647438,3.3718131966,0.6225637764,4.5767130655
1984,43,NA,NA,NA,NA
1976,44,NA,NA,NA,NA
1977,44,-0.2471801059,3.1666853129,-1.4171660023,4.7555279544
1978,44,-0.1743534184,3.0876138453,-1.4520069085,4.7447147002
1979,44,-0.1266976731,3.0766807376,-1.3547957467,4.716935122
1980,44,-0.145025761,3.0435553078,-1.4363252859,4.6697868577
1981,44,-0.3410828136,3.0239017465,-1.597509347,4.5777990206
1982,44,-0.529329118,3.0915423138,-1.7620065066,4.4945179329
1983,44,-0.2797139261,3.1658082877,-1.7737231261,4.495355303
1984,44,NA,NA,NA,NA
1976,45,NA,NA,NA,NA
1977,45,3.4747576131,3.2132359424,2.4415032167,4.8454776035
1978,45,3.5238868902,3.249614487,2.4485019765,4.847226531
1979,45,3.537736744,3.2744921627,2.5560948734,4.8254488586
1980,45,3.5069977877,3.3765870312,2.5781693057,4.7783938184
1981,45,3.4350833904,3.3341526029,2.4565843179,4.5987254366
1982,45,3.2667512787,3.470891386,2.3866504548,4.5772109217
1983,45,3.1937220941,3.4813539369,2.3197666205,4.5767130655
1984,45,NA,NA,NA,NA
1976,46,1.0888985817,2.9731133865,0.0238141254,4.8423239599
1977,46,1.1200475881,2.9581394461,-0.0761253947,4.8548800698
1978,46,1.1085626101,2.9291383171,-0.0978333912,4.8239096443
1979,46,1.0851892812,3.0866190799,-0.084251549,4.8300530076
1980,46,0.9388346657,2.9812479015,-0.1471088548,4.605170186
1981,46,0.8180161769,3.1732631937,-0.1619308817,4.5791392645
1982,46,0.7738050757,3.2710582883,-0.223768761,4.5714034813
1983,46,NA,NA,NA,NA
1984,46,NA,NA,NA,NA
1976,47,0.8862438593,3.3093415533,-0.6426441864,4.7570325484
1977,47,0.7617399533,3.2549724144,-0.9026344184,4.7510006078
1978,47,0.6795552522,3.2124230128,-1.0202633004,4.7256163661
1979,47,0.5844477801,3.1966302471,-1.0796923644,4.690430044
1980,47,0.440188527,3.1013482364,-1.1558177808,4.605170186
1981,47,0.2029408635,3.1018340534,-1.3567355867,4.4908810054
1982,47,0.0741794185,3.1373230168,-1.464904792,4.5053498507
1983,47,NA,NA,NA,NA
1984,47,NA,NA,NA,NA
1976,48,0.498955424,3.2431078137,-0.9837669069,4.8423239599
1977,48,0.8488680099,3.1425173152,-0.6516214314,4.8548800698
1978,48,0.8725477619,3.1695553115,-0.578747671,4.8239096443
1979,48,0.8561160477,3.3110975778,-0.5679252481,4.8300530076
1980,48,0.8272408892,3.1304598475,-0.4811050425,4.605170186
1981,48,0.7153978268,3.2703556901,-0.6464545052,4.5791392645
1982,48,0.658555757,3.3200524139,-0.8280509663,4.5714034813
1983,48,NA,NA,NA,NA
1984,48,NA,NA,NA,NA
1976,49,1.3238868736,3.3056478073,0.014790055,4.7672890225
1977,49,1.3061682929,3.1905339302,-0.050767105,4.7525120239
1978,49,1.3139924376,3.1339626037,-0.0975025573,4.7320230904
1979,49,1.3080624809,3.1086724996,-0.0298408328,4.699343356
