YEAR,unit,n,w,k,ys
1980,49,1.2375042953,3.101883454,-0.1271518134,4.6271762513
1981,49,1.0423945966,3.0295006103,-0.2529586536,4.520701046
1982,49,0.9604989544,3.0815842326,-0.4295529195,4.5017522606
1983,49,NA,NA,NA,NA
1984,49,NA,NA,NA,NA
1976,50,4.2885672344,3.234784602,3.2904669212,4.6650858307
1977,50,4.2944378233,3.1263438106,3.2440170941,4.6910496614
1978,50,4.2594776091,3.1036310594,3.2647932871,4.6808563059
1979,50,4.2841657019,3.1324243164,3.2483258838,4.6498261301
1980,50,4.1713519202,3.2065886555,3.1106801953,4.605170186
1981,50,3.8776799827,3.2093587109,2.8911769705,4.5298321861
1982,50,3.7039897455,3.2083445674,2.7622163587,4.5002384351
1983,50,NA,NA,NA,NA
1984,50,NA,NA,NA,NA
1976,51,-0.2652684521,3.1497100782,-1.383897196,4.8347441894
1977,51,-0.2797139261,3.0924006033,-1.4943251108,4.8517559853
1978,51,-0.3215835912,3.0772800373,-1.5663784089,4.8317430312
1979,51,-0.4004775417,3.1558167589,-1.6793240508,4.8285209302
1980,51,-0.4385049918,3.1269315637,-1.7814131504,4.666306654
1981,51,-0.579818491,3.2265979314,-1.9776072119,4.5857110681
1982,51,-0.5942072578,3.3224752234,-2.0325579767,4.5733430446
1983,51,NA,NA,NA,NA
1984,51,NA,NA,NA,NA
1976,52,2.6517619898,3.3332289808,1.0469329828,4.7570325484
1977,52,2.6549306772,3.1879051599,0.9853315911,4.7510006078
1978,52,2.6365542103,3.1055995918,0.9341699316,4.7256163661
1979,52,2.6111721093,3.1036445006,0.9322428161,4.690430044
1980,52,2.5119542493,3.0758319066,0.8178838069,4.605170186
1981,52,2.3518513452,3.1002454149,0.8997954326,4.4908810054
1982,52,2.3954376711,3.0745757726,0.9708167961,4.5053498507
1983,52,NA,NA,NA,NA
1984,52,NA,NA,NA,NA
1976,53,NA,NA,NA,NA
1977,53,1.9283278804,3.2589884125,0.0351740559,4.7555279544
1978,53,1.9383099156,3.1078504054,0.0551508362,4.7447147002
1979,53,1.9307965085,3.0994884909,0.032757605,4.716935122
1980,53,1.8849461787,3.0655754609,0.0455467998,4.6697868577
1981,53,1.7261537047,3.0798896054,-0.0783940619,4.5777990206
1982,53,1.5443659035,3.1360114712,-0.1874144884,4.4945179329
1983,53,1.5022980598,3.2381646076,-0.2434737891,4.495355303
1984,53,NA,NA,NA,NA
1976,54,NA,NA,NA,NA
1977,54,1.3355272561,3.1695427277,-0.612673835,4.8454776035
1978,54,1.41317974,3.1208174646,-0.5418003817,4.847226531
1979,54,1.437700141,3.1376223753,-0.4609249777,4.8254488586
1980,54,1.4245531063,3.2136622916,-0.4417661033,4.7783938184
1981,54,1.3241529813,3.1230078724,-0.5308582501,4.5987254366
1982,54,1.116124705,3.268747325,-0.718054846,4.5772109217
1983,54,0.9692625855,3.3092977142,-0.8708394857,4.5767130655
1984,54,NA,NA,NA,NA
1976,55,1.7014699749,3.5787548131,-1.6863189256,4.7570325484
1977,55,1.876100599,3.5188351657,-1.4292018577,4.7510006078
1978,55,1.931666332,3.4899802811,-1.1248536063,4.7256163661
1979,55,1.9751915457,3.4759367684,-1.0048487226,4.690430044
1980,55,1.8719560001,3.5691269668,-0.9477813869,4.605170186
1981,55,1.7578579504,3.557981745,-0.821207826,4.4908810054
1982,55,1.7327169529,3.6173162976,-0.6857743906,4.5053498507
1983,55,NA,NA,NA,NA
1984,55,NA,NA,NA,NA
1976,56,1.0667775304,3.0920374208,-0.5306882986,4.8423239599
1977,56,1.107902374,3.0232501871,-0.5376830642,4.8548800698
1978,56,1.0935997117,3.0083621785,-0.5300084774,4.8239096443
1979,56,1.0567481171,3.1224001636,-0.5686313502,4.8300530076
1980,56,0.960116207,3.0201712231,-0.7036016357,4.605170186
1981,56,0.7608058781,3.2204505883,-0.9457195724,4.5791392645
1982,56,0.4446857846,3.2579926555,-1.0984122755,4.5714034813
1983,56,NA,NA,NA,NA
1984,56,NA,NA,NA,NA
1976,57,NA,NA,NA,NA
1977,57,0.7168637547,2.6847883888,-1.9575779114,4.7700734396
1978,57,0.7691818633,2.6769584977,-1.9776072119,4.7896618565
1979,57,0.69863207,2.6710680795,-1.9435130583,4.7787158465
1980,57,0.6296747439,2.6579141648,-2.1244389385,4.7309742843
1981,57,-0.0222456241,2.6571989124,-2.428148283,4.5866547975
1982,57,-0.1779311937,2.735924724,-2.6882475195,4.5251979905
1983,57,-0.1984509474,2.783306056,-2.831914211,4.5230996414
1984,57,NA,NA,NA,NA
1976,58,3.0368742242,3.400653894,1.9342423264,4.7570325484
1977,58,3.1225851612,3.2610575635,2.0719006708,4.7510006078
1978,58,3.171574523,3.2397171557,2.1563794427,4.7256163661
1979,58,3.1386631008,3.195983802,2.1094371286,4.690430044
1980,58,3.0214000426,3.1750409305,2.1615743883,4.605170186
1981,58,2.8032998063,3.2215681963,2.0917158662,4.4908810054
1982,58,2.6354078468,3.2402380449,1.5460720027,4.5053498507
1983,58,NA,NA,NA,NA
1984,58,NA,NA,NA,NA
1976,59,NA,NA,NA,NA
1977,59,2.2873699249,2.9058732318,0.2916990357,4.7700734396
1978,59,2.2615546989,2.8396572153,0.1005690844,4.7896618565
1979,59,2.1908710854,2.7957435511,0.05002754,4.7787158465
1980,59,2.0220772112,2.7895073367,-0.1094800807,4.7309742843
1981,59,1.7637028904,2.8561598083,-0.4022702226,4.5866547975
1982,59,1.5566698533,2.9708861052,-0.6309237963,4.5251979905
1983,59,1.3817842339,3.012682792,-0.7680862675,4.5230996414
1984,59,NA,NA,NA,NA
1976,60,1.1346226925,3.2394859443,-0.2697111979,4.6421470288
1977,60,0.1371497991,3.2022300229,-0.935728401,4.6719330847
1978,60,-0.277071872,3.1425561826,-1.7125786768,4.6955802266
1979,60,-0.2626643175,3.0873492572,-1.7772650145,4.7179138935
1980,60,-0.3133418108,3.0179291022,-1.9220959509,4.605170186
1981,60,-0.0020019769,3.0708907654,-1.7596796186,4.5345996743
1982,60,-0.1210383537,3.0493820698,-2.0295091423,4.5088398708
1983,60,NA,NA,NA,NA
1984,60,NA,NA,NA,NA
1976,61,NA,NA,NA,NA
1977,61,0.90785529,3.0742291574,-0.7036016357,4.6496769119
1978,61,0.9174900208,3.0616089769,-0.8423434774,4.6778972875
1979,61,0.9501122671,3.0760026634,-0.8230281076,4.7012109948
1980,61,0.960116207,3.1024363858,-0.7693805088,4.6908972965
1981,61,0.8024498915,3.1031955364,-0.8034085515,4.587989442
1982,61,0.6026752894,3.1808956322,-0.9547717092,4.528221068
1983,61,0.5364933928,3.1271201571,-1.0829357807,4.5166951974
1984,61,NA,NA,NA,NA
1976,62,NA,NA,NA,NA
1977,62,1.0163170501,2.7730823653,-1.9017976139,4.7700734396
1978,62,0.9895412149,2.7595857789,-1.9561625645,4.7896618565
1979,62,0.9749369359,2.7567260995,-1.9855869692,4.7787158465
1980,62,0.9290095299,2.75134594,-2.057288716,4.7309742843
1981,62,0.8100408905,2.7982625331,-2.2182439313,4.5866547975
1982,62,0.5658818506,2.8731803374,-2.3623350956,4.5251979905
1983,62,0.615185652,2.9415505995,-1.9428149661,4.5230996414
1984,62,NA,NA,NA,NA
1976,63,-0.2082549676,3.6662324725,-0.5305182746,4.7013890299
1977,63,-0.1875351284,3.5416199882,-0.6082546773,4.6931810354
1978,63,-0.1496607729,3.5114408993,-0.6025754866,4.717605629
1979,63,-0.1543173682,3.4869651998,-0.5672196443,4.7095302013
1980,63,-0.1427163209,3.4255159599,-0.6329932236,4.605170186
1981,63,-0.1719752557,3.4634175771,-0.8117055335,4.4886363697
1982,63,-0.2008929196,3.5211440319,-0.9135444821,4.509760018
1983,63,NA,NA,NA,NA
1984,63,NA,NA,NA,NA
1976,64,2.2054132208,3.5176995545,0.5939896216,4.7013890299
1977,64,2.2577969389,3.3832132864,0.6212751638,4.6931810354
1978,64,2.2500278334,3.392882921,0.6613984822,4.717605629
1979,64,2.2607209048,3.3204319251,0.6115574353,4.7095302013
1980,64,2.2385797752,3.2502776117,0.5384797042,4.605170186
1981,64,2.1232191403,3.306175812,0.3459274218,4.4886363697
1982,64,1.9510397949,3.3317150874,0.2386231357,4.509760018
1983,64,NA,NA,NA,NA
1984,64,NA,NA,NA,NA
1976,65,3.2231068973,3.4009740062,1.9466099011,4.7013890299
1977,65,3.1788451463,3.4378474779,1.9430489195,4.6931810354
1978,65,3.1814231218,3.4253695093,1.8661090721,4.717605629
1979,65,3.1649685792,3.2948511995,1.7954692074,4.7095302013
1980,65,3.0791078972,3.267204922,1.7547842088,4.605170186
1981,65,2.9223547545,3.3473781132,1.8457582746,4.4886363697
1982,65,2.9737933653,3.2884131038,1.8304992957,4.509760018
1983,65,NA,NA,NA,NA
1984,65,NA,NA,NA,NA
1976,66,NA,NA,NA,NA
1977,66,2.1400661635,3.4932081912,1.666007243,4.699343356
1978,66,2.1400661635,3.4018904627,1.701488241,4.699343356
1979,66,2.1162555378,3.4119328542,1.753053309,4.7155928946
1980,66,2.1162555378,3.3343521929,1.7686102459,4.6844433669
1981,66,2.0412203041,3.3444612554,1.7188303015,4.5772849825
1982,66,1.9459101491,3.5641718666,1.6594844115,4.4939592396
1983,66,1.9315214254,3.4033417382,1.6309645301,4.5179769909
1984,66,NA,NA,NA,NA
1976,67,2.455992639,2.8282185596,-0.4497305585,4.7625567658
1977,67,2.5072387475,2.9104412662,-0.4372654292,4.7922918721
1978,67,2.5056075993,2.9265376455,-0.3311464281,4.7817293479
1979,67,2.4697929862,3.0117385125,-0.285284947,4.7696213753
1980,67,2.3874775306,3.0149513811,-0.388165577,4.605170186
1981,67,2.2617631382,3.0185743494,-0.5195300721,4.5289595621
1982,67,2.2789069445,3.0076015565,-0.5851900724,4.5138265401
1983,67,NA,NA,NA,NA
1984,67,NA,NA,NA,NA
1976,68,1.319085614,3.5956094567,1.4189309383,4.7013890299
1977,68,1.3291947999,3.5217942445,1.4721738016,4.6931810354
1978,68,1.3378916504,3.5354777003,1.5033215892,4.717605629
1979,68,1.4906543893,3.4118108848,1.7849698346,4.7095302013
1980,68,1.841818683,3.3021502107,1.6354759286,4.605170186
1981,68,1.7683202479,3.3416065884,1.5635405794,4.4886363697
1982,68,1.6917549367,3.3287951093,1.4031514388,4.509760018
1983,68,NA,NA,NA,NA
1984,68,NA,NA,NA,NA
1976,69,NA,NA,NA,NA
1977,69,0.2405904297,3.4356567704,-0.9861768702,4.699343356
1978,69,0.2561914482,3.4340355638,-0.9283632774,4.699343356
1979,69,0.3264219276,3.4050001345,-0.8727524077,4.7155928946
1980,69,0.3784364618,3.330435106,-0.6826029956,4.6844433669
1981,69,0.300845023,3.2770767859,-0.7298111788,4.5772849825
1982,69,0.3111544356,3.33620011,-0.7665784655,4.4939592396
1983,69,0.3804891625,3.3311754431,-0.8223451476,4.5179769909
1984,69,NA,NA,NA,NA
1976,70,NA,NA,NA,NA
1977,70,0.9741821836,3.1631685545,-1.1796054863,4.6496769119
1978,70,0.9182887802,3.1040080285,-1.1966662637,4.6778972875
1979,70,0.8767180052,3.1047794988,-1.196004658,4.7012109948
1980,70,0.8095959839,3.0900829436,-1.2528129929,4.6908972965
1981,70,0.6168059715,3.0128253976,-1.1083596404,4.587989442
1982,70,0.2791457616,3.1409532132,-1.4171660023,4.528221068
1983,70,-0.2033409427,3.2252157012,-1.9105429923,4.5166951974
1984,70,NA,NA,NA,NA
1976,71,0.4700036441,3.3184496408,-1.117183688,4.6301583288
1977,71,0.356974913,3.1378132657,-1.1257779329,4.6645696205
1978,71,0.4731237685,3.1453928804,-0.8370175548,4.6897208684
1979,71,0.5866749239,3.1741546113,-0.7706763629,4.7123774755
1980,71,0.4612151016,3.1163512838,-1.2279240387,4.6345697212
1981,71,0.0109399768,3.1754587767,-1.4718522682,4.5527141386
1982,71,-0.091019412,3.1752833073,-1.5214270281,4.5153417344
1983,71,NA,NA,NA,NA
1984,71,NA,NA,NA,NA
1976,72,2.5917410553,3.4212842757,0.856922841,4.6421470288
1977,72,2.5059340263,3.3706041395,0.769737761,4.6719330847
1978,72,2.4818185781,3.3966168999,0.7037409071,4.6955802266
1979,72,2.4660635639,3.4946026768,0.6637698866,4.7179138935
1980,72,2.4263943646,3.4699426402,0.6677781052,4.605170186
1981,72,2.172590312,3.5468520548,0.5469646963,4.5345996743
1982,72,2.030645122,3.5263222647,0.6439569594,4.5088398708
1983,72,NA,NA,NA,NA
1984,72,NA,NA,NA,NA
1976,73,NA,NA,NA,NA
1977,73,0.2934155751,3.5747752607,-0.7982854883,4.6496769119
1978,73,0.3257001328,3.4798175457,-0.7580057424,4.6778972875
1979,73,0.3371862837,3.4196461345,-0.7595006641,4.7012109948
1980,73,0.3371862837,3.5038262033,-0.8409513423,4.6908972965
1981,73,0.2926696389,3.4993157403,-0.8005097262,4.587989442
1982,73,0.2086388597,3.5420833091,-1.5422466636,4.528221068
1983,73,-0.4079682061,3.5536895825,-1.8036296328,4.5166951974
1984,73,NA,NA,NA,NA
1976,74,NA,NA,NA,NA
1977,74,1.1749558293,3.1095251543,-0.6309237963,4.6496769119
1978,74,1.2077655895,3.0605785159,-0.554081165,4.6778972875
1979,74,1.1960414104,3.0970426214,-0.4944602734,4.7012109948
1980,74,1.1917989982,3.136428546,-0.5015355778,4.6908972965
1981,74,0.93413068,3.0619787369,-0.76335506,4.587989442
1982,74,0.8497234819,3.1322454566,-0.8928183687,4.528221068
1983,74,0.7236764032,3.1720357958,-1.0302996302,4.5166951974
1984,74,NA,NA,NA,NA
1976,75,1.0518699968,3.2823612691,-0.0660329641,4.6421470288
1977,75,1.0979453685,3.2135094312,-0.0943106507,4.6719330847
1978,75,1.074661034,3.203701305,-0.1236376256,4.6955802266
1979,75,1.0445080324,3.2412672226,-0.2809050725,4.7179138935
1980,75,0.8350807054,3.2123707189,-0.4692039117,4.605170186
1981,75,0.7770286426,3.2840940847,-0.5166760718,4.5345996743
1982,75,0.7173518814,3.2916540744,-0.6828008323,4.5088398708
1983,75,NA,NA,NA,NA
1984,75,NA,NA,NA,NA
1976,76,1.541159088,3.2553658915,-0.0292228697,4.6301583288
1977,76,1.5299617175,3.1805714581,-0.0833815908,4.6645696205
1978,76,1.5308275589,3.1822242817,-0.115410882,4.6897208684
1979,76,1.610037689,3.2358824129,-0.0363528535,4.7123774755
1980,76,1.6008006744,3.2820721743,-0.0643252387,4.6345697212
1981,76,1.493128838,3.335876355,-0.1474564478,4.5527141386
1982,76,1.3535128849,3.40151732,-0.2622742893,4.5153417344
1983,76,NA,NA,NA,NA
1984,76,NA,NA,NA,NA
1976,77,NA,NA,NA,NA
1977,77,1.9065751465,2.9193586529,0.2349930432,4.6496769119
1978,77,1.8780900421,2.9027997409,0.2536339463,4.6778972875
1979,77,1.7530186125,2.986085925,0.3587228162,4.7012109948
1980,77,1.7270431674,3.0331629344,0.2208208524,4.6908972965
1981,77,1.4786456413,3.0417376495,0.0129162366,4.587989442
1982,77,1.4953729485,3.0015752129,-0.0969515419,4.528221068
1983,77,1.590051159,2.9904382671,-0.0764491659,4.5166951974
1984,77,NA,NA,NA,NA
1976,78,1.9163342044,3.2684846875,0.2050610262,4.6301583288
1977,78,1.9648720623,3.2356542893,0.1588822948,4.6645696205
1978,78,2.0171671486,3.2357172329,0.1640727413,4.6897208684
1979,78,2.1262058903,3.2417013271,0.1477300715,4.7123774755
1980,78,2.0357508521,3.1962170199,0.0465018631,4.6345697212
1981,78,1.8854016261,3.2141969271,-0.2185292508,4.5527141386
1982,78,1.8045111764,3.2459616479,-0.3657156662,4.5153417344
1983,78,NA,NA,NA,NA
1984,78,NA,NA,NA,NA
1976,79,-0.7852624689,3.024397482,-2.2237739242,4.5390303672
1977,79,-0.6088059778,3.1192145561,-2.1671804466,4.5829246082
1978,79,-0.4812668686,3.1339495639,-1.8546992896,4.6308379179
1979,79,-0.1887421137,3.0093836893,-1.6424777807,4.6269316479
1980,79,-0.2876820725,3.1264095892,-1.890475488,4.605170186
1981,79,-0.5041811268,3.1287410115,-2.0394519171,4.5422304025
1982,79,-0.4764242101,3.1086144034,-2.1252760608,4.5870061843
1983,79,NA,NA,NA,NA
1984,79,NA,NA,NA,NA
1976,80,1.0935997117,3.1403000316,-0.6029408686,4.6421470288
1977,80,0.9688831784,3.0945227633,-0.6328049984,4.6719330847
1978,80,0.9403978497,3.1108852226,-0.4580750697,4.6955802266
1979,80,1.0445080324,3.1602886349,-0.1805630978,4.7179138935
1980,80,1.0956077586,3.1157572772,-0.2011374889,4.605170186
1981,80,1.0231701168,3.1349636664,-0.2891498207,4.5345996743
1982,80,0.9162907319,3.151551526,-0.4266376627,4.5088398708
1983,80,NA,NA,NA,NA
1984,80,NA,NA,NA,NA
1976,81,-0.1543173682,3.3332075448,-2.0257112375,4.7570325484
1977,81,-0.145025761,3.20400986,-2.040990405,4.7510006078
1978,81,-0.1543173682,3.1453024716,-1.7087059363,4.7256163661
1979,81,-0.2369889902,3.1237560185,-1.7861750559,4.690430044
1980,81,-0.2357223064,3.0800182967,-1.9125721109,4.605170186
1981,81,-0.3509769282,3.1690172725,-2.0866675895,4.4908810054
1982,81,-0.3960099819,3.2466349159,-2.1602178542,4.5053498507
1983,81,NA,NA,NA,NA
1984,81,NA,NA,NA,NA
1976,82,1.7650732053,3.6454577447,-0.6645596811,4.7570325484
1977,82,1.6160162263,3.5065329107,-0.7310567267,4.7510006078
1978,82,1.6016073264,3.5432263314,-0.6034893555,4.7256163661
1979,82,1.6211688383,3.5383966578,-0.623621093,4.690430044
1980,82,1.5863740048,3.5799961195,-0.5914935329,4.605170186
1981,82,1.5826831814,3.5851870063,-0.7072461035,4.4908810054
1982,82,1.5549817548,3.6855489286,-0.7375171174,4.5053498507
1983,82,NA,NA,NA,NA
1984,82,NA,NA,NA,NA
1976,83,NA,NA,NA,NA
1977,83,1.9523181562,3.1809912,0.4165369414,4.8454776035
1978,83,1.9464814411,3.1240683568,0.404731543,4.847226531
1979,83,1.9130917792,3.19191153,0.3130573526,4.8254488586
1980,83,1.7849027003,3.2905190507,0.3280799353,4.7783938184
1981,83,1.5562481209,3.2547563335,0.2199384617,4.5987254366
1982,83,1.3297240021,3.2940018682,0.0561913312,4.5772109217
1983,83,1.1927096132,3.3739426368,-0.1407574061,4.5767130655
1984,83,NA,NA,NA,NA
1976,84,2.3982588167,3.0271824869,0.6731995437,4.550351768
1977,84,2.5506943891,2.8338484017,0.7975522066,4.5684024555
1978,84,2.7328728771,2.8021718012,0.9861898571,4.5911503999
1979,84,2.7853815054,2.886040126,1.4951935706,4.6087477632
1980,84,2.7974033047,2.9625580779,1.594770843,4.6070025364
1981,84,2.777949356,3.025650278,1.5466045813,4.5918245392
1982,84,2.8231630037,3.0304380373,1.6113959856,4.5989579213
1983,84,NA,NA,NA,NA
1984,84,NA,NA,NA,NA
1976,85,3.4826852257,2.8254775872,2.3375660567,4.5415197795
1977,85,3.4277094683,2.8588582032,2.2401031714,4.5757413596
1978,85,3.4137515707,2.8783891784,2.1575478106,4.6230101341
1979,85,3.4188080969,2.8923254104,2.236017843,4.6275841141
1980,85,3.3972897374,2.8835876709,2.1421815303,4.6088304712
1981,85,3.2257323008,2.8891543406,1.8959092302,4.5529996888
1982,85,3.128206866,2.8905939393,1.7493563281,4.5796810736
1983,85,NA,NA,NA,NA
1984,85,NA,NA,NA,NA
1976,86,4.5876068769,2.8203963009,3.5314212449,4.550351768
1977,86,4.5971279084,2.7313434849,3.4770899017,4.5684024555
1978,86,4.6093116076,2.9379124642,3.4614360312,4.5911503999
1979,86,4.6873214057,2.7324175501,3.4591455039,4.6087477632
1980,86,4.6687551505,2.7680911086,3.8524406879,4.6070025364
1981,86,4.6359806105,2.8407495324,3.79217357,4.5918245392
1982,86,4.5971582104,2.844199798,3.6449249437,4.5989579213
1983,86,NA,NA,NA,NA
1984,86,NA,NA,NA,NA
1976,87,4.2470656711,3.383885044,2.3302391966,4.7570325484
1977,87,3.6686767663,3.2005203707,2.2395387848,4.7510006078
1978,87,3.7232809177,3.1797273991,2.313801913,4.7256163661
1979,87,3.7612001157,3.1455349229,2.3843770105,4.690430044
1980,87,3.6763006719,3.200239264,2.3441779695,4.605170186
1981,87,3.5779478721,3.2017622166,2.3146618757,4.4908810054
1982,87,3.4781584699,3.2648735137,2.2553152264,4.5053498507
1983,87,NA,NA,NA,NA
1984,87,NA,NA,NA,NA
1976,88,2.0118316736,3.5134421057,1.0159550854,4.7013890299
1977,88,2.1190227613,3.5011302149,1.0607373277,4.6931810354
1978,88,2.1543170462,3.5135374583,1.0502270322,4.717605629
1979,88,2.2121132149,3.4194890832,0.7230457017,4.7095302013
1980,88,2.1602147904,3.3675371791,0.7670944627,4.605170186
1981,88,1.9801735342,3.4444292509,0.6076982181,4.4886363697
1982,88,1.9919755055,3.4543968648,0.5791382656,4.509760018
1983,88,NA,NA,NA,NA
1984,88,NA,NA,NA,NA
1976,89,0.1043600282,3.4903645241,-0.2494875043,4.7013890299
1977,89,0.2911760059,3.415392807,-0.1086994004,4.6931810354
1978,89,0.2851789745,3.4524163121,0.2530129624,4.717605629
1979,89,0.2753564467,3.3344555752,0.4807581129,4.7095302013
1980,89,0.2934155751,3.3061941298,0.3748684408,4.605170186
1981,89,0.3052763759,3.3488403589,0.2954270411,4.4886363697
1982,89,0.2623642278,3.3279490292,0.0505980805,4.509760018
1983,89,NA,NA,NA,NA
1984,89,NA,NA,NA,NA
1976,90,2.4798940728,3.811800381,1.8533718341,4.7009348357
1977,90,2.4598452251,3.5184883981,1.8863875972,4.695239411
1978,90,2.3958021963,3.1957423314,2.0366906351,4.711555163
1979,90,2.3325321597,2.8703617867,2.039101213,4.711555163
1980,90,2.4676757193,3.2088335808,1.9989362049,4.6322988534
1981,90,2.3801015128,3.2313971265,1.9167020086,4.5190674869
1982,90,2.3482274516,3.2735988466,1.8691525169,4.5045208116
1983,90,NA,NA,NA,NA
1984,90,NA,NA,NA,NA
1976,91,-1.4439234679,3.4569757564,-2.6521425506,4.6517331403
1977,91,-1.3943265492,3.3863239957,-2.5929373994,4.6772964388
1978,91,-1.4105870425,3.4107383734,-2.6521425506,4.6906026537
1979,91,-1.4354845823,3.446447971,-2.7120582381,4.714554471
1980,91,-1.4828052699,3.3378634434,-2.6606896497,4.605170186
1981,91,-1.6766466277,3.3830876984,-2.8967923373,4.5991168981
1982,91,-1.7259717113,3.4504477467,-2.8084231751,4.5980760666
1983,91,NA,NA,NA,NA
1984,91,NA,NA,NA,NA
1976,92,-1.2482730616,3.0559379988,-2.9661734702,4.5489521778
1977,92,-1.0876723118,3.0077004117,-2.8967923373,4.5538768916
1978,92,-1.2447948419,3.1337144036,-3.349554096,4.599152129
1979,92,-1.870802682,3.1616534118,-4.4312168558,4.6295378452
1980,92,-1.8201589408,3.1501558032,-4.0686767714,4.6197306431
1981,92,-1.8838747903,3.2086921584,-4.0398563824,4.5846276015
1982,92,-2.0325579767,3.2476459701,-4.1997051002,4.5573791487
1983,92,NA,NA,NA,NA
1984,92,NA,NA,NA,NA
1976,93,NA,NA,NA,NA
1977,93,4.3129579091,3.0287849683,3.2967327771,4.5501858938
1978,93,4.3186607249,3.0416516668,3.3168442947,4.5951198501
1979,93,4.2923344088,3.0662513084,3.3259923662,4.6298627986
1980,93,4.6155164871,3.0716557618,3.6041654212,4.6215355551
1981,93,4.5096939615,3.0549253148,3.4568212729,4.5898026934
1982,93,4.3577723658,3.1220388912,3.4040832282,4.553613683
1983,93,4.2980877796,3.1584632205,3.357071321,4.6128903241
1984,93,NA,NA,NA,NA
1976,94,0.9230677002,3.4498827875,-1.1162672676,4.7672890225
1977,94,0.9230677002,3.3402116375,-1.0561277156,4.7525120239
1978,94,0.9166906229,3.3250792164,-1.0466842022,4.7320230904
1979,94,0.8746350574,3.2851016881,-0.9573732115,4.699343356
1980,94,0.8381129665,3.2628505835,-0.9403272865,4.6271762513
1981,94,0.6564831823,3.2552733486,-1.0277810887,4.520701046
1982,94,0.5050087056,3.3630696989,-1.285182848,4.5017522606
1983,94,NA,NA,NA,NA
1984,94,NA,NA,NA,NA
1976,95,-0.0481403658,3.2632179835,-1.1350688669,4.8423239599
1977,95,-0.0544561576,3.1814231218,-1.1113935842,4.8548800698
1978,95,-0.0779615286,3.1756801811,-0.9763061274,4.8239096443
1979,95,0.071389997,3.2786680835,-0.8159929991,4.8300530076
1980,95,0.049742091,3.1498558414,-0.9542522198,4.605170186
1981,95,-0.0682788244,3.3648341644,-1.2801341756,4.5791392645
1982,95,-0.1323892027,3.3634470327,-1.3767401054,4.5714034813
1983,95,NA,NA,NA,NA
1984,95,NA,NA,NA,NA
1976,96,3.9395409004,3.128478317,2.2239530742,4.8423239599
1977,96,3.9413876467,3.0639982192,2.1707892975,4.8548800698
1978,96,4.0993320911,3.1395554934,2.5494842261,4.8239096443
1979,96,4.0859763126,3.2514708084,2.4983492457,4.8300530076
1980,96,3.9180050619,3.1676962421,2.402937102,4.605170186
1981,96,3.7518542175,3.2517224482,2.2783845625,4.5791392645
1982,96,3.3214324407,3.3265528311,1.6421567301,4.5714034813
1983,96,NA,NA,NA,NA
1984,96,NA,NA,NA,NA
1976,97,3.1537184599,3.4326023723,1.293850082,4.7672890225
1977,97,3.1598474044,3.2800725056,1.35449404,4.7525120239
1978,97,3.1775954053,3.1843423334,1.4680125906,4.7320230904
1979,97,3.1504685014,3.1464255544,1.4840107767,4.699343356
1980,97,3.1178171595,3.1998805574,1.4752892203,4.6271762513
1981,97,2.8567575607,3.185021206,1.2858108126,4.520701046
1982,97,2.7040421516,3.255936482,1.0621903071,4.5017522606
1983,97,NA,NA,NA,NA
1984,97,NA,NA,NA,NA
1976,98,NA,NA,NA,NA
