YEAR,unit,n,w,k,ys
1977,98,1.2878542883,3.4257957079,1.1203737755,4.8454776035
1978,98,1.4422019976,3.3144623586,1.2652278193,4.847226531
1979,98,1.4331779261,3.3367228776,1.5341753868,4.8254488586
1980,98,1.4267162665,3.5279768737,1.5902143049,4.7783938184
1981,98,2.1408893504,3.3472127805,1.8259515633,4.5987254366
1982,98,2.0438143369,3.5168596851,1.8340044773,4.5772109217
1983,98,1.9769934744,3.5812107159,1.8532308197,4.5767130655
1984,98,NA,NA,NA,NA
1976,99,NA,NA,NA,NA
1977,99,0.0788111963,3.2688424034,-1.5028281934,4.6496769119
1978,99,0.0815800222,3.2160438309,-1.4375876681,4.6778972875
1979,99,0.1061601855,3.2660036526,-1.3208812115,4.7012109948
1980,99,0.0788111963,3.2546367182,-1.3911059399,4.6908972965
1981,99,-0.0932123671,3.2569304684,-1.8832171007,4.587989442
1982,99,-0.5586162409,3.3028455604,-2.0502711409,4.528221068
1983,99,-0.6539265041,3.2757777776,-2.2045513796,4.5166951974
1984,99,NA,NA,NA,NA
1976,100,NA,NA,NA,NA
1977,100,1.5140277444,2.9952371941,0.6746776675,4.8496673092
1978,100,1.5926985512,3.1004795603,0.6953946093,4.8369309214
1979,100,1.6229462308,3.197599054,0.413962224,4.8274982193
1980,100,1.7434441936,3.0806660601,0.4126393145,4.7050815942
1981,100,1.673913966,3.1257775677,0.3979704591,4.5900677017
1982,100,1.619982121,3.2814186282,0.2931172852,4.5746336591
1983,100,1.7472849519,3.3374904916,0.2193765085,4.5837493816
1984,100,NA,NA,NA,NA
1976,101,NA,NA,NA,NA
1977,101,1.6046263217,3.0363654075,-0.1497769429,4.7700734396
1978,101,1.6088377759,2.9747996612,-0.1742343581,4.7896618565
1979,101,1.6217616222,2.9698399441,-0.0579469435,4.7787158465
1980,101,1.6233408515,2.9800905771,-0.0067225249,4.7309742843
1981,101,1.4895276029,2.9265429599,-0.1297670454,4.5866547975
1982,101,1.2372141669,3.1225895295,-0.24526132,4.5251979905
1983,101,1.0868770035,3.1719771089,-0.5196982379,4.5230996414
1984,101,NA,NA,NA,NA
1976,102,NA,NA,NA,NA
1977,102,-0.4992264989,3.3309179938,-1.3401744594,4.6581857246
1978,102,-0.3243460707,3.2560675563,-1.1002135673,4.6806393453
1979,102,-0.2446225927,3.3004705783,-0.9599814215,4.6966448669
1980,102,-0.1232982126,3.2687663414,-0.7767462224,4.6883092912
1981,102,-0.1210383537,3.2603248444,-0.8269071405,4.6036600283
1982,102,-0.0888311903,3.3811817457,-0.8761089769,4.5988562735
1983,102,-0.0120726058,3.3903588397,-0.6622301116,4.6175235304
1984,102,NA,NA,NA,NA
1976,103,-0.7657178657,3.0708304322,-2.7725887222,4.5390303672
1977,103,-0.8416472022,3.0056628131,-2.5929373994,4.5829246082
1978,103,-0.7700282259,2.933872859,-2.4913272066,4.6308379179
1979,103,-0.7507762873,2.9689724489,-2.3187145079,4.6269316479
1980,103,-0.7830719157,2.978962461,-2.2966030537,4.605170186
1981,103,-1.1116975398,3.1915415904,-2.5047013116,4.5422304025
1982,103,-1.2173958118,2.9778687021,-2.6352645415,4.5870061843
1983,103,NA,NA,NA,NA
1984,103,NA,NA,NA,NA
1976,104,NA,NA,NA,NA
1977,104,0.3278638703,2.867216814,-0.5249245467,4.5624818587
1978,104,0.376379539,2.8673135432,-0.4990617405,4.5805229139
1979,104,0.4743690826,2.8765432493,-0.4027188732,4.6024996157
1980,104,0.531804043,2.9191266075,-0.3455937519,4.610048253
1981,104,0.524136644,2.9982441461,-0.4309367446,4.5992607307
1982,104,0.4356709526,3.0810517847,0.4533024612,4.5925174635
1983,104,0.4466070283,3.0574245302,0.3210684924,4.6063584446
1984,104,0.4472466488,3.0988482506,0.2319843986,4.617175847
1976,105,NA,NA,NA,NA
1977,105,-1.2344319823,3.1871044448,-1.2447948419,4.5672211371
1978,105,-1.2310014914,3.2343829411,-1.3015856274,4.5890336864
1979,105,-1.1874434789,3.2136863728,-1.3089630274,4.6075014509
1980,105,-1.1301029129,3.3471388953,-1.3063747584,4.6076121939
1981,105,-1.1744140492,3.3568518239,-1.4430763548,4.5933162232
1982,105,-1.2447948419,3.3453005448,-1.5871872808,4.5976731285
1983,105,-1.3394107962,3.4124933194,-1.2866300508,4.6099030023
1984,105,-1.398366967,3.3384386208,-1.374761108,4.6209027869
1976,106,NA,NA,NA,NA
1977,106,0.6518042324,2.3334827906,-0.7758768314,4.5684024555
1978,106,0.6956441178,2.3105333867,-0.2728591294,4.5911503999
1979,106,0.7183275367,2.3026250511,-0.2345837516,4.6087477632
1980,106,0.7381205498,2.3828093638,-0.306253492,4.6070025364
1981,106,0.7462138861,2.4104434687,-0.4505147539,4.5918245392
1982,106,0.7114781082,2.3651654141,-0.6106459907,4.5989579213
1983,106,0.7070501431,2.3641128067,-0.7013809752,4.6107873908
1984,106,0.6775257905,2.3783323948,-0.8099057276,4.6218325807
1976,107,NA,NA,NA,NA
1977,107,-0.0151136233,2.3513276631,-0.8991878519,4.5612935213
1978,107,0.0723207059,2.409949596,-0.7916424365,4.5783836392
1979,107,0.1388920412,2.3702811569,-0.2592889876,4.601245487
1980,107,0.3328944016,2.3180941623,-0.2823629002,4.610656133
1981,107,0.537662285,2.4377626381,-0.280640277,4.6007413716
1982,107,0.4743690826,2.6253712447,-0.3852214056,4.5912243639
1983,107,0.5038009915,2.5736651146,-0.3886080304,4.6054711203
1984,107,0.4940863353,2.6098712124,-0.3434767367,4.6162416358
1976,108,NA,NA,NA,NA
1977,108,-0.4338645797,3.1675235816,-0.5347768581,4.5612935213
1978,108,-0.5191938254,3.211323344,-0.5385394886,4.5783836392
1979,108,-0.4338645797,3.1584206709,0.1246041336,4.601245487
1980,108,-0.4019711747,3.2309585248,0.0746435297,4.610656133
1981,108,-0.2903522666,3.1802680342,-0.0113643578,4.6007413716
1982,108,-0.2957142204,3.206993528,-0.1494285425,4.5912243639
1983,108,-0.2652684521,3.179848068,-0.2519289025,4.6054711203
1984,108,-0.1935847479,3.1749991602,-0.0630463082,4.6162416358
1976,109,NA,NA,NA,NA
1977,109,1.5564590094,2.3321147476,0.2576609234,4.5684024555
1978,109,1.6014057484,2.3397556537,0.3143727055,4.5911503999
1979,109,1.6382196961,2.3594473683,0.3599097076,4.6087477632
1980,109,1.6917549367,2.3724189422,0.3464933223,4.6070025364
1981,109,1.69433035,2.4161191208,0.2746728189,4.5918245392
1982,109,1.7263316435,2.3683073172,0.2013068973,4.5989579213
1983,109,1.733953806,2.3772286006,0.175548685,4.6107873908
1984,109,1.7399397252,2.367004815,0.2565009569,4.6218325807
1976,110,NA,NA,NA,NA
1977,110,1.7392373218,3.24804234,-0.0324198795,4.8454776035
1978,110,1.7215158042,3.1691644182,-0.0358344528,4.847226531
1979,110,1.6603211525,3.1247805059,-0.1095916752,4.8254488586
1980,110,1.5214806328,3.148071294,-0.1249964983,4.7783938184
1981,110,1.4395981006,3.1027553678,-0.0347985187,4.5987254366
1982,110,1.2936306511,3.2256011298,-0.217410019,4.5772109217
1983,110,1.1786549963,3.2833668281,-0.3886080304,4.5767130655
1984,110,0.9696419392,3.3452265182,-0.6971552101,4.6050321607
1976,111,NA,NA,NA,NA
1977,111,0.7070501431,3.305159907,-1.5568454292,4.754021159
1978,111,0.6996261523,3.2024292921,-1.1190191433,4.7383890298
1979,111,0.6876319812,3.1519664943,-1.1341358238,4.7081779223
1980,111,0.5726730282,3.09294063,-1.2538635627,4.6487084588
1981,111,0.5080216609,3.1338363516,-1.4329667662,4.5496574599
1982,111,0.3257001328,3.1699250605,-1.6094378975,4.4981415962
1983,111,0.1587117343,3.2457981246,-1.7660917002,4.4852598549
1984,111,0.0925791839,3.2608197484,-2.0394519171,4.4676307895
1976,112,NA,NA,NA,NA
1977,112,1.2322686446,3.0882157594,-0.8271358283,4.6716402959
1978,112,1.1265516697,3.053043216,-0.8732312284,4.6885108364
1979,112,1.125903131,3.0738870084,-0.9503647439,4.6731885634
1980,112,1.1220032738,3.0606441183,-0.9856408118,4.6388477008
1981,112,0.9066443833,3.1596734642,-1.1059390234,4.5868615883
1982,112,0.5440669863,3.1627117267,-1.3167682736,4.5225155102
1983,112,0.3967606598,3.197239399,-1.6124424574,4.4980626244
1984,112,0.2554171185,3.1847728895,-1.8884906703,4.4825425274
1976,113,0.6010318922,3.1482902485,-1.5123111764,4.5427626934
1977,113,0.6518042324,3.1000923232,-1.5639866663,4.5721303319
1978,113,0.6590731839,3.1170512934,-1.5635089892,4.6190731062
1979,113,0.5966362718,3.1554843507,-1.5218850162,4.6279097028
1980,113,0.4718769016,3.0899736805,-1.6739764336,4.6106551466
1981,113,0.268499229,3.136328623,-1.7873691061,4.5583406306
1982,113,0.0295587745,3.2211811337,-2.0659331997,4.5759988087
1983,113,-0.2890162783,3.2606509539,-2.2367973769,4.6627313253
1984,113,NA,NA,NA,NA
1976,114,NA,NA,NA,NA
1977,114,-0.5533852589,3.1811282753,-2.605042461,4.7922918721
1978,114,-0.5905905561,3.165842077,-2.6269311224,4.7817293479
1979,114,-0.5447272042,3.1542349222,-2.631089203,4.7696213753
1980,114,-0.7153928046,3.1371537242,-2.7379940777,4.605170186
1981,114,-0.7528972148,3.0637133189,-2.8770607553,4.5289595621
1982,114,0.0535407172,2.3884049311,-3.0618721032,4.5138265401
1983,114,-0.8209805575,3.3128869852,-3.201527192,4.5504119691
1984,114,-0.7700282259,3.4247999476,-3.291446514,4.5839771913
1976,115,NA,NA,NA,NA
1977,115,0.6205764954,2.8754498865,-1.4317102003,4.7922918721
1978,115,0.6135627028,2.8494745218,-1.5086879903,4.7817293479
1979,115,0.5527350471,2.8400662498,-1.5573199331,4.7696213753
1980,115,0.4510756528,2.8626293431,-1.6745099182,4.605170186
1981,115,0.2971371986,3.0180073559,-1.8643301544,4.5289595621
1982,115,0.3133498415,3.0142350772,-1.9761631439,4.5138265401
1983,115,0.3060130586,2.9342079024,-2.0565065361,4.5504119691
1984,115,0.3845818849,2.8831065119,-2.0084240043,4.5839771913
1976,116,NA,NA,NA,NA
1977,116,0.6544063651,2.9944764499,-1.1802562302,4.7675746947
1978,116,0.6512829675,2.9818767328,-1.1570892583,4.79053879
1979,116,0.667316421,2.949180332,-1.1041274881,4.7797216126
1980,116,0.6719235159,2.9670807382,-1.059583913,4.7440230212
1981,116,0.5641768085,2.9583211328,-1.2542140677,4.5928647885
1982,116,0.5013811788,3.0417566849,-1.4146938327,4.5264537507
1983,116,0.4885800119,3.0458073465,-1.5347943827,4.5200174046
1984,116,0.4977403726,3.0918693805,-1.6204988823,4.5560849687
1976,117,NA,NA,NA,NA
1977,117,2.381765924,2.9104357617,0.8519868634,4.6772964388
1978,117,2.3617027169,2.9524854458,0.8602281511,4.6906026537
1979,117,2.3668735414,2.9619168777,0.9092258102,4.714554471
1980,117,2.1503659147,2.9526159896,0.7948008283,4.605170186
1981,117,2.0449795,3.109690254,0.7352483401,4.5991168981
1982,117,1.9743587848,3.0739887835,0.7173030096,4.5980760666
1983,117,1.9567088065,3.0781275526,0.7144193074,4.6736967114
1984,117,1.9129440853,3.0621705262,0.7785447119,4.7314247912
1976,118,1.3930216696,2.6654071243,-0.9197968409,4.7605974511
1977,118,1.332366009,2.7096289383,-0.8746690675,4.7725667307
1978,118,1.3969870454,2.7059613816,-0.4394356268,4.7887833913
1979,118,1.6010024705,2.716831557,-0.0281937586,4.7777099024
1980,118,1.5621366505,2.738437141,-0.4298602402,4.717752138
1981,118,1.4877221641,2.7303007852,-0.6121202886,4.5804060796
1982,118,1.3987169282,2.7835348305,-0.8850343485,4.5239405687
1983,118,1.342081181,2.8306040558,-1.0636313134,4.5261713338
1984,118,NA,NA,NA,NA
1976,119,NA,NA,NA,NA
1977,119,0.7970566895,3.7296710832,-0.999944079,4.699343356
1978,119,0.7779478033,3.3435647558,-1.0261056335,4.699343356
1979,119,0.6846108697,3.3586168691,-1.0362010683,4.7155928946
1980,119,0.6754922623,3.300839177,-1.0427046804,4.6844433669
1981,119,0.6221881106,3.1987833484,-1.1744140492,4.5772849825
1982,119,0.433080311,3.2423071175,-1.3563472481,4.4939592396
1983,119,0.3506568414,3.2337171565,-1.5104979761,4.5179769909
1984,119,0.2350721109,3.1477578452,-1.6039529489,4.545154786
1976,120,NA,NA,NA,NA
1977,120,0.1222176285,3.1315298638,-1.6697188505,4.6596299629
1978,120,0.1088544135,3.1230035059,-1.6225231334,4.6857948823
1979,120,0.1106465056,3.1773202653,-1.3284028868,4.7086686022
1980,120,0.2021241654,3.2149280708,-1.2217974004,4.6537003357
1981,120,0.165514394,3.16359139,-1.3719970512,4.5646116888
1982,120,0.4762341879,3.1792822028,-1.3344612063,4.5196537182
1983,120,0.4061315838,3.2191718016,-1.4384301424,4.5270735332
1984,120,0.3852624203,3.1857202023,-1.4073137227,4.5649095097
1976,121,NA,NA,NA,NA
1977,121,0.2271355688,3.255928836,-1.3413209918,4.6496769119
1978,121,0.2881819411,3.1453024716,-1.3854946674,4.6778972875
1979,121,0.3133498415,3.157957371,-1.1523295777,4.7012109948
1980,121,0.3328944016,3.2364996084,-1.2173958118,4.6908972965
1981,121,0.3393253368,3.2623375451,-0.9571127177,4.587989442
1982,121,0.2963940343,3.3226410517,-1.1077539366,4.528221068
1983,121,0.2738367091,3.3714080256,-1.2120049723,4.5166951974
1984,121,0.2592826009,3.381100079,-1.2862679998,4.5506939074
1976,122,1.1164521743,3.3395808163,-0.6165566001,4.6421470288
1977,122,1.1505720548,3.2488733322,-0.5750086995,4.6719330847
1978,122,1.1226542683,3.2353789114,-0.4168800169,4.6955802266
1979,122,1.1016078186,3.2752864014,-0.447225034,4.7179138935
1980,122,1.0009994437,3.2502698484,-0.6331815965,4.605170186
1981,122,0.8055825724,3.3822591992,-0.8022926189,4.5345996743
1982,122,0.5687171205,3.42512875,-1.003483925,4.5088398708
1983,122,0.5146184089,3.4393726883,-1.0441241088,4.5398985674
1984,122,NA,NA,NA,NA
1976,123,-0.4910230152,2.9108440517,-2.098012941,4.6421470288
1977,123,-0.4684049284,2.897226007,-1.9498178102,4.6719330847
1978,123,-0.4494169777,2.9228173989,-1.9732813561,4.6955802266
1979,123,-0.4215944624,2.985196949,-2.0348506042,4.7179138935
1980,123,-0.4170317756,2.9367409805,-2.1319987636,4.605170186
1981,123,-0.4588658388,3.0099408307,-2.222850121,4.5345996743
1982,123,-0.4588658388,3.0045731209,-2.1244389385,4.5088398708
1983,123,-0.4572848312,2.9411704711,-2.1576193457,4.5398985674
1984,123,NA,NA,NA,NA
1976,124,NA,NA,NA,NA
1977,124,-1.9519281886,3.538152526,-2.631089203,4.7007076266
1978,124,-2.0099154541,3.4889304508,-2.5849479735,4.695239411
1979,124,-2.0024804608,3.4866194591,-2.6214138766,4.716935122
1980,124,-2.0325579767,3.4060754613,-2.6707543924,4.7012373313
1981,124,-2.0794415417,3.4546717839,-2.7838519254,4.5959608876
1982,124,-2.0714733559,3.3889324821,-3.0988730379,4.4904134674
1983,124,-2.095570896,3.3799805277,-3.1917471794,4.5125065179
1984,124,-2.103734223,3.2994340763,-3.3298074194,4.5432064722
1976,125,NA,NA,NA,NA
1977,125,-0.7962879284,2.9883803325,-2.1982250648,4.7650689102
1978,125,-0.7808860855,2.9679035927,-2.2643263765,4.7914157152
1979,125,-0.7896580893,2.9432593414,-2.2926347273,4.7807256
1980,125,-0.807436305,2.9559253672,-2.3475824431,4.7569045316
1981,125,-0.9187938896,2.9645718008,-2.5157783524,4.5990363766
1982,125,-0.9942522605,3.0632787743,-2.6091102311,4.5277080183
1983,125,-1.0106014317,3.1032584018,-2.6823824103,4.5169268048
1984,125,-1.0272222639,3.1087841677,-2.7822350828,4.5532524516
1976,126,NA,NA,NA,NA
1977,126,-1.320506659,3.1497143295,-2.7838519254,4.7725667307
1978,126,-1.3318061813,3.1195326976,-2.6464848365,4.7887833913
1979,126,-1.3509272044,3.0820567374,-2.6722005487,4.7777099024
1980,126,-1.4439234679,3.0343614971,-3.0470255805,4.717752138
1981,126,-1.838851112,3.2328497697,-3.2163789248,4.5804060796
1982,126,-1.9379420225,3.268340055,-3.4082219509,4.5239405687
1983,126,-2.0325579767,3.4082458218,-3.547379909,4.5261713338
1984,126,-2.2633643592,3.5360749963,-3.7550192837,4.5617259668
1976,127,0.1292723458,2.687745426,-0.3712086469,4.550351768
1977,127,0.0620354008,2.6679016182,-0.3749843624,4.5684024555
1978,127,0.1266326425,2.7025618399,-0.3988370914,4.5911503999
1979,127,0.2413763211,2.6668670432,-0.388165577,4.6087477632
1980,127,0.4121096445,2.6578440397,-0.42694418,4.6070025364
1981,127,0.4173936834,2.6746174842,0.0744578668,4.5918245392
1982,127,0.4272265949,2.6770547735,-0.0465676153,4.5989579213
1983,127,0.400787539,2.7189439788,-0.128856594,4.6107873908
1984,127,0.4631048792,2.789925101,-0.0619818125,4.6218325807
1976,128,0.531804043,2.6559917338,-0.8620392912,4.550351768
1977,128,0.6064993692,2.6323276124,-0.8016236699,4.5684024555
1978,128,0.6961427105,2.5425621752,-0.7582192022,4.5911503999
1979,128,0.719302125,2.5420743487,-0.761426005,4.6087477632
1980,128,0.5749265213,2.6885615084,-0.9273517018,4.6070025364
1981,128,0.4586898802,2.6709089386,-0.7429678945,4.5918245392
1982,128,0.388658006,2.698747074,-0.9103086925,4.5989579213
1983,128,0.3639484352,2.7320401043,-0.9667949024,4.6107873908
1984,128,0.2829207719,2.6918666237,-1.000487862,4.6218325807
1976,129,-0.2639655371,2.177860544,-1.6054458831,4.550351768
1977,129,-0.23952703,2.1234823417,-1.6507808761,4.5684024555
1978,129,-0.2181559849,2.1083933219,-1.6398970904,4.5911503999
1979,129,-0.1461824842,2.0815768022,-1.6139480546,4.6087477632
1980,129,-0.0822952386,2.1379463124,-1.5375824666,4.6070025364
1981,129,-0.0943106507,2.1928371778,-0.9228119696,4.5918245392
1982,129,-0.1381133114,2.2122882747,-1.074700476,4.5989579213
1983,129,-0.1346748886,2.2178982549,-1.1979906909,4.6107873908
1984,129,-0.1601687544,2.2206371966,-1.2761851354,4.6218325807
1976,130,2.9957322736,3.3779151357,3.1598601918,4.6227684075
1977,130,3.0301337371,3.3138913973,3.2078796134,4.6709663845
1978,130,3.0204248861,3.3895093288,3.7598713638,4.6872928729
1979,130,3.0252910943,3.3909954997,3.7765491583,4.7086198959
1980,130,2.9177707321,3.4158133784,3.7304987686,4.6336585225
1981,130,2.7080502011,3.5460968303,3.7766888413,4.600633927
1982,130,2.513494072,3.6136709086,3.7117728894,4.598335896
1983,130,2.3532782508,3.5797590646,3.7428206118,4.6553203636
1984,130,2.243896129,3.6000646664,3.7612233585,4.717302589
1976,131,1.4109869504,3.2409308485,-0.6851789948,4.6421470288
1977,131,1.3977287397,3.2083122613,-0.6352557063,4.6719330847
1978,131,1.2714445152,3.1942879813,-0.6776676431,4.6955802266
1979,131,1.1320470641,3.2078310927,-0.8679768399,4.7179138935
1980,131,1.0598714319,3.1124569762,-0.8067639075,4.605170186
1981,131,0.9218750859,3.1292661934,-0.904856368,4.5345996743
1982,131,0.8355144194,3.140351942,-1.1966662637,4.5088398708
1983,131,0.3798053698,3.130957887,-1.3767401054,4.5398985674
1984,131,0.3694924661,3.0634142556,-1.4380088165,4.5823999303
1976,132,-0.0294287945,3.0001425284,-2.1724344229,4.8423239599
1977,132,-0.0470916115,2.9000745812,-2.1430205547,4.8548800698
1978,132,-0.0779615286,2.8589040225,-2.0121568079,4.8239096443
1979,132,-0.104249996,2.9813189199,-2.0456200065,4.8300530076
1980,132,-0.12443006,2.8420098289,-2.134531522,4.605170186
1981,132,-0.3174542511,3.000311806,-2.3015855609,4.5791392645
1982,132,-0.4064655956,3.0852027334,-2.3382122515,4.5714034813
1983,132,-0.47481522,3.2253905837,-2.3665904139,4.5924759711
1984,132,-0.4861329957,3.2057662823,-2.4057258573,4.6417807369
1976,133,0.7728820975,3.318616207,-1.2580770187,4.7672890225
1977,133,0.8746350574,3.2221743643,-1.2884419504,4.7525120239
1978,133,0.8573896717,3.1466964516,-1.2862679998,4.7320230904
1979,133,0.8569652431,3.1142483948,-1.2375295594,4.699343356
1980,133,0.9198842925,3.1188035614,-1.1561354513,4.6271762513
1981,133,0.7481086989,3.1087975398,-1.3001166343,4.520701046
1982,133,0.667829397,3.229325039,-1.3719970512,4.5017522606
1983,133,0.535323063,3.2848283125,-1.4580051864,4.4750615354
1984,133,0.5388298124,3.3181743867,-1.5200543211,4.4690640705
1976,134,2.5669473619,2.72261037,0.4074631247,4.7625567658
1977,134,2.6551415843,2.689288631,0.4583105539,4.7922918721
1978,134,2.6394857782,2.7463987412,0.4871065093,4.7817293479
1979,134,2.6310971555,2.7451661178,0.5039822741,4.7696213753
1980,134,2.5891916055,2.6986124952,0.4157453842,4.605170186
1981,134,2.5663329882,2.8311760169,0.2814878868,4.5289595621
1982,134,2.6123465787,2.8198122262,0.2495906871,4.5138265401
1983,134,2.591441474,2.9172895521,0.2017156148,4.5504119691
1984,134,2.6016521148,2.882031525,0.1873920029,4.5839771913
1976,135,0.861200739,2.925207855,-0.9223088164,4.7618225949
1977,135,0.8628899069,2.9373825497,-0.9490721927,4.7849409739
1978,135,0.8531378673,2.8574525343,-0.9298826754,4.7843802176
1979,135,0.7631395435,2.835551822,-0.9896682317,4.7726623015
1980,135,0.5977369732,2.8274497003,-1.11596192,4.6488874724
1981,135,0.4510756528,2.91248104,-1.3052674692,4.5485638263
1982,135,0.2738367091,2.9091662153,-1.5320139817,4.5176310486
1983,135,0.1714291462,2.955332032,-1.7053982699,4.5413908167
1984,135,0.1773090198,2.9704247359,-1.917322693,4.5756909147
1976,136,-0.4861329957,3.1822201663,-2.0858620985,4.7625567658
1977,136,-0.2984060577,3.0935438444,-2.1294724665,4.7922918721
1978,136,-0.3960099819,2.9995948147,-2.2210051395,4.7817293479
1979,136,-0.3710636848,2.9635860786,-2.3299562848,4.7696213753
1980,136,-1.1270117602,2.9553997518,-2.6091102311,4.605170186
1981,136,-1.4872202971,3.1856457501,-2.8051119194,4.5289595621
1982,136,-1.3547957467,3.1842677785,-2.8986055375,4.5138265401
1983,136,-1.0328245307,3.1459781631,-2.9431397903,4.5504119691
1984,136,-0.7657178657,3.1176180232,-2.8895721014,4.5839771913
1976,137,0.9551267469,3.6490413858,-0.4090213874,4.7009348357
1977,137,0.9939922035,3.5278593622,-0.2028508584,4.695239411
1978,137,0.9962103346,3.6295300827,0.0337248401,4.711555163
1979,137,0.9643186653,3.5109303433,0.0090588052,4.711555163
1980,137,0.8658392277,3.4731117694,-0.0901435486,4.6322988534
1981,137,0.6906440527,3.5197949049,-0.2248950618,4.5190674869
1982,137,0.5579000191,3.5427692793,-0.3374327259,4.5045208116
1983,137,0.477475637,3.5560334911,-0.4425440754,4.5342111134
1984,137,0.1697427263,3.5784030814,-0.6997690793,4.5509779408
1976,138,0.6533663368,3.2943282875,-1.3676688772,4.6220853358
1977,138,0.6570017443,3.2162965125,-1.3536335541,4.6596299629
1978,138,0.6595904049,3.2237439459,-1.3440014336,4.6857948823
1979,138,0.6810745747,3.279895661,-1.3352210976,4.7086686022
1980,138,0.7400307455,3.30880427,-1.3152768238,4.6537003357
1981,138,0.6881346435,3.1865674942,-1.4597256461,4.5646116888
1982,138,0.4434029272,3.2382077873,-1.6575783252,4.5196537182
1983,138,0.316269514,3.2885846774,-1.8176928066,4.5270735332
1984,138,0.2662030006,3.2993750183,-1.8957875766,4.5649095097
1976,139,0.0535407172,3.09945694,-1.9180032081,4.6301583288
1977,139,0.0430595178,3.052022817,-1.4970024673,4.6645696205
1978,139,0.1034586791,3.0016497322,-1.3716028592,4.6897208684
1979,139,0.1578580879,2.9963720797,-1.4179914393,4.7123774755
1980,139,0.1160036987,2.9672608078,-1.2157080694,4.6345697212
1981,139,0.071389997,2.9897845788,-1.3428518256,4.5527141386
1982,139,0.0834216195,3.0124664538,-1.3935204089,4.5153417344
1983,139,0.4114471425,3.0059548272,-1.044976717,4.5322230388
1984,139,0.4140944424,3.0110345542,-1.0912395579,4.5719421619
1976,140,0.4324315619,3.3705285536,-0.4292456016,4.6517331403
1977,140,0.3694924661,3.2463937198,-0.3789205593,4.6772964388
1978,140,0.3541717803,3.3173664221,-0.3431947615,4.6906026537
1979,140,0.3632532341,3.3678094983,-0.4079682061,4.714554471
1980,140,0.3371862837,3.3420558509,-0.5215496291,4.605170186
1981,140,0.2851789745,3.4153435376,-0.7435987224,4.5991168981
1982,140,0.175632595,3.419577412,-0.8667865206,4.5980760666
1983,140,0.127513353,3.4296585044,-0.9950633736,4.6736967114
1984,140,0.0889262589,3.4224433907,-1.0147307718,4.7314247912
