lnwage,educ,exper,expsq,black,south,smsa,age,agesq,nearc4
6.3063,7,16,2.56,1,0,1,29,841,0
6.1759,12,9,0.81,0,0,1,27,729,0
6.5806,12,16,2.56,0,0,1,34,1156,0
5.5215,11,10,1.0,0,0,1,27,729,1
6.5917,12,16,2.56,0,0,1,34,1156,1
6.2146,12,8,0.64,0,0,1,26,676,1
6.3368,18,9,0.81,0,0,1,33,1089,1
6.4102,14,9,0.81,0,0,1,29,841,1
6.0521,12,10,1.0,0,0,1,28,784,1
6.2442,12,11,1.21,0,0,1,29,841,1
5.4161,9,13,1.69,0,0,1,28,784,1
5.9915,12,8,0.64,0,0,1,26,676,1
6.0331,11,7,0.49,0,0,1,24,576,1
5.3799,11,13,1.69,0,0,1,30,900,1
6.7957,16,9,0.81,1,0,1,31,961,1
5.7038,14,4,0.16,0,0,1,24,576,1
5.8464,12,16,2.56,0,0,1,34,1156,1
6.4892,14,9,0.81,0,0,1,29,841,1
6.3544,10,10,1.0,0,0,1,26,676,1
6.4754,12,14,1.96,0,0,1,32,1024,1
6.8501,18,8,0.64,0,1,1,32,1024,1
6.42,18,10,1.0,0,0,1,34,1156,1
6.5876,15,11,1.21,0,0,0,32,1024,1
6.4036,12,10,1.0,0,0,1,28,784,1
6.541,12,14,1.96,0,0,1,32,1024,1
7.2442,18,10,1.0,0,0,0,34,1156,1
5.7038,12,8,0.64,0,0,1,26,676,1
7.4955,18,8,0.64,0,0,1,32,1024,1
6.0234,12,7,0.49,0,0,1,25,625,1
6.4489,14,9,0.81,0,0,0,29,841,1
5.3375,12,7,0.49,0,0,1,25,625,1
6.1247,12,7,0.49,1,0,1,25,625,1
6.7142,16,2,0.04,0,0,1,24,576,1
6.3578,18,10,1.0,0,0,1,34,1156,1
5.5413,11,11,1.21,0,0,1,28,784,1
6.869,16,8,0.64,0,0,1,30,900,1
6.8501,10,15,2.25,0,0,1,31,961,1
7.044,18,10,1.0,0,0,1,34,1156,1
5.7807,6,15,2.25,0,0,1,27,729,1
5.4596,11,7,0.49,1,0,1,24,576,1
6.9078,12,16,2.56,0,0,1,34,1156,1
6.1759,9,11,1.21,0,0,1,26,676,1
6.4362,15,11,1.21,0,0,1,32,1024,1
6.477,11,17,2.89,0,0,1,34,1156,1
5.8406,12,6,0.36,1,0,1,24,576,1
5.9402,16,2,0.04,0,1,1,24,576,1
5.8665,12,6,0.36,0,0,1,24,576,1
6.4907,13,6,0.36,0,0,1,25,625,1
6.4313,17,5,0.25,0,0,1,28,784,1
6.0868,12,7,0.49,0,0,1,25,625,1
6.6039,12,8,0.64,1,0,1,26,676,1
5.6348,11,14,1.96,1,1,0,31,961,1
6.073,10,8,0.64,0,0,1,24,576,1
6.5582,12,9,0.81,0,0,1,27,729,1
6.0521,12,9,0.81,0,0,1,27,729,1
6.3474,12,6,0.36,0,0,1,24,576,1
6.2879,16,8,0.64,0,0,1,30,900,1
6.6067,16,10,1.0,0,0,1,32,1024,1
6.5117,13,13,1.69,0,0,1,32,1024,1
6.6451,12,16,2.56,0,0,1,34,1156,1
6.3835,12,6,0.36,0,0,1,24,576,1
5.3613,9,9,0.81,1,0,1,24,576,1
7.3544,16,12,1.44,0,0,1,34,1156,1
6.6516,16,6,0.36,0,0,1,28,784,1
6.3969,12,8,0.64,0,1,1,26,676,1
6.541,18,0,0.0,0,0,1,24,576,1
6.3456,13,12,1.44,0,0,1,31,961,1
6.0707,14,8,0.64,0,0,1,28,784,1
6.2879,15,7,0.49,0,0,1,28,784,1
6.4409,12,7,0.49,0,0,1,25,625,1
6.1759,8,17,2.89,0,0,1,31,961,1
6.3008,12,8,0.64,0,0,1,26,676,1
6.3561,12,7,0.49,0,0,1,25,625,1
6.5511,16,3,0.09,0,0,1,25,625,1
6.6695,16,6,0.36,0,0,1,28,784,1
6.9197,17,4,0.16,0,0,1,27,729,1
6.6307,12,6,0.36,0,0,1,24,576,1
6.3986,14,9,0.81,0,0,1,29,841,1
5.6454,12,6,0.36,0,0,1,24,576,1
5.5215,12,6,0.36,0,0,1,24,576,1
6.2146,12,8,0.64,0,0,1,26,676,1
6.3099,11,14,1.96,0,0,1,31,961,1
7.0414,12,7,0.49,0,0,1,25,625,1
6.697,18,7,0.49,0,1,1,31,961,1
5.7462,12,10,1.0,1,0,1,28,784,1
6.5944,18,1,0.01,0,0,1,25,625,1
6.4378,16,3,0.09,0,0,1,25,625,1
6.3767,14,4,0.16,0,0,1,24,576,1
5.9269,14,6,0.36,0,0,1,26,676,1
6.7056,16,7,0.49,0,1,1,29,841,1
6.7627,14,10,1.0,0,0,1,30,900,1
5.8579,15,7,0.49,0,1,1,28,784,1
5.3083,13,5,0.25,0,1,1,24,576,1
6.2246,13,13,1.69,0,1,1,32,1024,1
6.7044,17,7,0.49,0,0,1,30,900,1
6.4378,18,2,0.04,0,0,1,26,676,1
6.6451,18,8,0.64,0,0,1,32,1024,1
6.2146,17,4,0.16,0,0,1,27,729,1
6.4281,17,4,0.16,0,0,1,27,729,1
6.477,12,12,1.44,0,0,1,30,900,1
6.6451,18,4,0.16,0,0,1,28,784,1
6.2383,12,8,0.64,0,0,1,26,676,1
6.4378,18,7,0.49,0,0,1,31,961,1
7.013,14,11,1.21,0,0,1,31,961,1
6.5806,13,9,0.81,0,0,1,28,784,1
7.051,14,12,1.44,0,0,1,32,1024,1
6.7178,18,10,1.0,0,0,0,34,1156,1
6.8276,16,12,1.44,0,0,1,34,1156,1
6.981,17,5,0.25,0,0,1,28,784,1
6.4378,12,15,2.25,0,0,1,33,1089,1
6.1312,13,8,0.64,0,0,1,27,729,1
6.8024,14,4,0.16,1,0,1,24,576,1
6.525,18,5,0.25,0,0,1,29,841,1
6.0186,12,6,0.36,0,0,1,24,576,1
6.4378,13,8,0.64,0,0,1,27,729,1
6.9127,18,8,0.64,0,0,1,32,1024,1
6.5862,11,7,0.49,0,0,1,24,576,1
6.6201,15,6,0.36,0,0,1,27,729,1
6.271,14,9,0.81,0,0,1,29,841,1
6.8794,17,6,0.36,0,0,1,29,841,1
6.157,12,8,0.64,0,0,0,26,676,1
5.7838,12,6,0.36,0,0,1,24,576,1
6.7742,12,16,2.56,0,0,1,34,1156,1
6.4378,13,15,2.25,0,0,1,34,1156,1
5.8201,12,8,0.64,0,0,1,26,676,1
6.1759,16,5,0.25,0,0,1,27,729,1
6.477,9,14,1.96,0,0,1,29,841,1
5.948,16,3,0.09,0,0,1,25,625,1
6.869,18,6,0.36,0,0,1,30,900,1
6.4216,16,7,0.49,0,0,0,29,841,1
6.5539,14,8,0.64,0,0,1,28,784,1
6.4536,14,11,1.21,0,0,1,31,961,1
5.2983,12,10,1.0,0,0,1,28,784,1
6.7056,12,9,0.81,0,0,1,27,729,1
6.3578,14,6,0.36,0,0,1,26,676,1
6.1442,17,3,0.09,0,0,1,26,676,1
6.8287,16,7,0.49,0,0,1,29,841,1
6.6758,16,9,0.81,0,1,1,31,961,1
6.4536,14,8,0.64,0,0,1,28,784,1
6.3456,12,7,0.49,0,0,1,25,625,1
6.5582,16,7,0.49,0,0,1,29,841,1
6.4536,14,8,0.64,0,0,1,28,784,1
6.5425,12,12,1.44,0,0,1,30,900,1
6.4216,13,15,2.25,0,0,1,34,1156,1
6.1356,16,4,0.16,0,0,1,26,676,1
6.7627,12,16,2.56,0,0,1,34,1156,1
6.6026,18,9,0.81,0,1,1,33,1089,1
7.2442,12,7,0.49,0,0,1,25,625,1
6.6946,12,13,1.69,0,0,1,31,961,1
6.4831,16,4,0.16,0,0,1,26,676,1
5.7038,12,7,0.49,0,0,1,25,625,1
6.3578,16,8,0.64,0,0,1,30,900,1
5.5797,16,2,0.04,0,0,1,24,576,1
6.3869,18,7,0.49,0,0,0,31,961,1
5.7838,17,3,0.09,0,0,1,26,676,1
5.9532,16,2,0.04,0,0,0,24,576,1
6.9078,18,1,0.01,0,0,1,25,625,1
6.142,18,4,0.16,0,0,1,28,784,1
6.0868,16,6,0.36,0,0,1,28,784,1
6.4378,16,5,0.25,0,0,1,27,729,1
5.6525,17,4,0.16,0,0,1,27,729,1
6.477,14,7,0.49,0,0,1,27,729,1
6.6946,13,6,0.36,0,0,1,25,625,1
6.2146,12,6,0.36,0,0,1,24,576,1
6.7226,16,4,0.16,0,0,1,26,676,1
6.2146,12,13,1.69,0,0,1,31,961,1
6.541,17,9,0.81,0,0,1,32,1024,1
7.0031,12,9,0.81,0,0,1,27,729,1
6.6373,12,7,0.49,0,0,1,25,625,1
6.6783,12,9,0.81,0,0,1,27,729,1
5.8081,16,3,0.09,0,0,1,25,625,1
6.0137,18,6,0.36,0,0,1,30,900,1
6.7627,16,5,0.25,0,0,1,27,729,1
6.789,12,13,1.69,0,0,1,31,961,1
6.5117,12,16,2.56,0,0,1,34,1156,1
6.5511,12,15,2.25,0,0,0,33,1089,1
5.5215,18,9,0.81,0,1,1,33,1089,1
6.4378,11,10,1.0,0,0,1,27,729,1
6.0331,13,12,1.44,0,0,1,31,961,1
6.3561,13,9,0.81,0,0,1,28,784,1
6.4184,12,8,0.64,1,0,1,26,676,1
6.5511,12,13,1.69,0,0,1,31,961,1
6.1092,12,6,0.36,0,0,1,24,576,1
6.2146,16,6,0.36,0,0,1,28,784,1
6.2422,12,7,0.49,0,0,0,25,625,1
5.5215,16,3,0.09,0,0,1,25,625,1
5.7526,12,6,0.36,0,0,0,24,576,1
5.9269,12,11,1.21,0,0,1,29,841,1
6.1247,15,13,1.69,0,0,0,34,1156,1
5.6168,12,9,0.81,1,0,1,27,729,1
6.8575,12,10,1.0,0,0,1,28,784,1
7.0166,16,10,1.0,0,0,1,32,1024,1
5.6664,16,3,0.09,0,0,0,25,625,1
6.2146,16,3,0.09,0,0,1,25,625,1
6.5876,18,8,0.64,0,0,1,32,1024,1
7.1428,18,5,0.25,0,0,1,29,841,1
6.4184,17,3,0.09,1,0,1,26,676,1
6.3008,12,10,1.0,0,0,1,28,784,1
5.6276,13,9,0.81,0,0,1,28,784,1
7.2738,18,10,1.0,0,0,1,34,1156,1
6.9027,16,5,0.25,0,0,1,27,729,1
6.5511,12,11,1.21,0,0,1,29,841,1
6.3578,16,6,0.36,0,0,1,28,784,1
6.7546,16,9,0.81,0,0,1,31,961,1
6.5309,12,10,1.0,0,0,1,28,784,1
6.7238,15,10,1.0,0,0,1,31,961,1
6.4505,13,14,1.96,0,0,1,33,1089,1
6.5352,12,14,1.96,0,0,1,32,1024,1
6.6451,14,10,1.0,0,0,1,30,900,1
5.9532,15,6,0.36,0,0,1,27,729,1
6.1092,12,6,0.36,0,0,1,24,576,1
6.4216,12,9,0.81,0,0,1,27,729,1
6.525,12,16,2.56,0,0,1,34,1156,1
6.5073,10,16,2.56,0,0,1,32,1024,1
6.6846,11,16,2.56,0,0,1,33,1089,1
6.2246,14,14,1.96,0,0,1,34,1156,1
6.9334,18,6,0.36,0,0,1,30,900,1
6.6451,15,4,0.16,0,0,1,25,625,1
5.6699,10,16,2.56,0,1,1,32,1024,1
6.271,13,9,0.81,0,0,1,28,784,1
7.051,16,7,0.49,0,0,1,29,841,1
6.3081,10,13,1.69,0,0,1,29,841,1
6.1633,12,8,0.64,0,0,1,26,676,1
6.1092,12,8,0.64,0,0,1,26,676,1
6.7742,17,4,0.16,0,0,1,27,729,1
5.2983,15,4,0.16,0,0,1,25,625,1
5.7038,13,7,0.49,0,0,0,26,676,1
6.1356,16,3,0.09,0,0,0,25,625,1
5.9532,12,12,1.44,0,0,1,30,900,1
7.1562,15,11,1.21,0,0,1,32,1024,1
6.3767,16,3,0.09,0,0,1,25,625,1
6.3969,12,9,0.81,0,0,1,27,729,1
6.2146,16,8,0.64,0,0,1,30,900,1
6.0868,12,15,2.25,1,0,1,33,1089,1
6.1463,18,2,0.04,0,1,1,26,676,1
6.8341,17,6,0.36,0,0,1,29,841,1
6.3208,16,5,0.25,0,0,1,27,729,1
6.0822,13,5,0.25,0,0,1,24,576,1
6.3969,12,11,1.21,1,0,1,29,841,1
6.3544,12,8,0.64,1,0,1,26,676,1
5.9636,12,8,0.64,1,0,1,26,676,1
6.6783,12,16,2.56,0,0,0,34,1156,1
6.1549,18,3,0.09,0,0,1,27,729,1
5.3083,17,3,0.09,0,0,1,26,676,1
5.2983,17,1,0.01,0,0,1,24,576,1
5.8579,17,1,0.01,0,0,1,24,576,1
5.9269,14,4,0.16,0,0,0,24,576,1
6.1759,16,3,0.09,0,0,1,25,625,1
6.869,18,7,0.49,0,0,1,31,961,1
6.0474,15,6,0.36,0,0,1,27,729,1
6.2146,15,6,0.36,0,0,1,27,729,1
6.1092,9,15,2.25,0,0,1,30,900,1
6.1654,8,14,1.96,0,0,1,28,784,1
4.9127,12,6,0.36,0,0,1,24,576,1
6.3544,12,14,1.96,0,0,1,32,1024,1
6.3578,12,15,2.25,0,0,1,33,1089,1
5.7366,12,13,1.69,0,0,1,31,961,1
6.5511,9,15,2.25,0,0,1,30,900,1
7.1869,14,12,1.44,0,0,1,32,1024,1
6.3117,10,18,3.24,0,0,1,34,1156,1
6.7811,17,7,0.49,0,0,1,30,900,1
6.6333,12,7,0.49,0,0,1,25,625,1
6.5624,12,14,1.96,0,0,1,32,1024,1
6.0521,12,8,0.64,0,0,1,26,676,1
6.0568,12,8,0.64,0,0,1,26,676,1
6.3561,16,2,0.04,0,0,1,24,576,1
5.9915,9,17,2.89,0,0,1,32,1024,1
6.2146,12,13,1.69,0,0,0,31,961,1
6.2748,12,10,1.0,0,0,0,28,784,1
6.5117,16,6,0.36,0,0,1,28,784,1
6.3578,16,5,0.25,0,1,1,27,729,1
5.7838,16,2,0.04,0,0,1,24,576,1
6.2146,11,12,1.44,0,0,0,29,841,1
6.6464,12,7,0.49,0,0,0,25,625,1
6.2146,12,8,0.64,0,0,1,26,676,1
5.9687,16,6,0.36,0,0,1,28,784,1
6.697,12,16,2.56,0,0,1,34,1156,1
6.2971,9,19,3.61,1,0,0,34,1156,1
6.3852,9,19,3.61,1,0,0,34,1156,1
6.7616,17,2,0.04,0,0,1,25,625,1
6.5511,10,12,1.44,1,0,0,28,784,1
6.2344,12,7,0.49,0,0,0,25,625,1
6.4216,13,15,2.25,0,0,1,34,1156,1
6.6346,14,9,0.81,0,0,1,29,841,1
6.2005,10,15,2.25,0,0,1,31,961,1
6.0981,16,2,0.04,0,0,1,24,576,1
6.0521,12,7,0.49,0,0,1,25,625,1
6.6201,16,2,0.04,0,0,1,24,576,1
6.5511,16,2,0.04,0,0,1,24,576,1
6.0822,12,6,0.36,0,0,1,24,576,1
6.4102,12,11,1.21,0,0,1,29,841,1
6.1092,13,5,0.25,0,0,1,24,576,1
5.7462,3,17,2.89,0,0,1,26,676,1
5.5215,7,20,4.0,1,0,1,33,1089,1
6.2146,14,13,1.69,0,0,1,33,1089,1
5.8999,12,8,0.64,0,0,1,26,676,0
6.7007,12,8,0.64,0,0,1,26,676,0
5.7869,12,7,0.49,0,0,0,25,625,0
6.2615,12,11,1.21,0,0,0,29,841,0
6.7032,13,9,0.81,0,0,1,28,784,0
6.6201,12,10,1.0,0,0,1,28,784,0
6.2634,17,1,0.01,0,0,1,24,576,0
7.0255,12,14,1.96,0,0,1,32,1024,0
6.4378,12,10,1.0,0,0,1,28,784,0
6.5723,14,5,0.25,0,0,1,25,625,0
6.3818,12,13,1.69,0,0,0,31,961,0
6.0014,17,4,0.16,0,0,1,27,729,0
6.5147,12,10,1.0,0,0,1,28,784,1
6.0958,12,7,0.49,0,0,1,25,625,1
6.1903,12,6,0.36,0,0,1,24,576,1
6.5439,9,19,3.61,0,0,1,34,1156,1
6.5511,12,7,0.49,0,1,1,25,625,1
5.7838,12,6,0.36,0,1,1,24,576,1
6.3208,9,10,1.0,0,0,1,25,625,1
5.7838,12,8,0.64,0,0,1,26,676,1
6.5043,13,7,0.49,0,0,1,26,676,1
7.7849,18,7,0.49,0,0,1,31,961,1
6.6307,16,3,0.09,0,0,1,25,625,1
6.8937,16,12,1.44,0,0,1,34,1156,1
6.3578,12,7,0.49,0,0,1,25,625,1
5.656,17,6,0.36,0,0,0,29,841,1
5.4424,14,8,0.64,0,1,1,28,784,1
6.2403,12,7,0.49,0,0,1,25,625,1
6.4216,15,7,0.49,0,0,1,28,784,1
6.5511,15,4,0.16,0,0,1,25,625,1
6.5709,18,9,0.81,0,0,1,33,1089,1
6.5525,9,15,2.25,0,0,1,30,900,1
6.1356,12,6,0.36,1,0,1,24,576,1
6.7662,18,4,0.16,0,0,1,28,784,1
6.8211,16,7,0.49,0,0,0,29,841,1
6.9707,12,9,0.81,0,0,1,27,729,1
5.9915,12,11,1.21,0,1,1,29,841,1
6.4615,12,9,0.81,0,0,1,27,729,1
5.6525,13,5,0.25,0,0,1,24,576,1
6.463,17,4,0.16,0,1,1,27,729,1
5.9636,13,13,1.69,0,0,1,32,1024,1
6.9177,12,7,0.49,0,0,1,25,625,1
6.7056,12,6,0.36,0,0,0,24,576,1
6.8824,17,4,0.16,0,0,1,27,729,1
6.6201,12,11,1.21,1,0,1,29,841,1
6.1377,15,3,0.09,0,0,0,24,576,1
7.2349,12,10,1.0,0,0,1,28,784,1
6.3578,12,7,0.49,0,0,1,25,625,1
5.994,12,9,0.81,0,0,1,27,729,1
5.7683,10,10,1.0,0,0,1,26,676,1
6.2422,12,9,0.81,0,0,1,27,729,1
5.3375,11,8,0.64,0,0,1,25,625,1
7.0834,17,4,0.16,0,0,1,27,729,1
6.4378,14,6,0.36,0,0,1,26,676,1
6.1759,17,11,1.21,0,0,1,34,1156,1
6.5709,13,8,0.64,0,0,1,27,729,1
6.4378,11,10,1.0,0,0,1,27,729,1
6.3154,12,12,1.44,0,0,1,30,900,1
6.3613,12,16,2.56,0,0,1,34,1156,1
6.7346,18,4,0.16,0,0,1,28,784,1
7.5616,18,9,0.81,0,0,1,33,1089,1
6.6921,16,4,0.16,0,0,1,26,676,1
5.8406,12,11,1.21,1,0,1,29,841,1
6.869,12,14,1.96,0,0,1,32,1024,1
6.3969,12,14,1.96,0,0,0,32,1024,1
6.7298,18,10,1.0,0,0,1,34,1156,1
6.4378,16,2,0.04,0,0,1,24,576,1
6.3333,16,6,0.36,0,0,1,28,784,1
7.2513,16,6,0.36,0,0,1,28,784,1
6.1738,12,7,0.49,0,0,1,25,625,1
6.3969,12,6,0.36,0,0,1,24,576,1
5.7038,9,13,1.69,0,0,1,28,784,1
6.2246,9,10,1.0,0,0,1,25,625,1
6.0331,14,5,0.25,1,0,1,25,625,1
5.7038,12,6,0.36,1,0,1,24,576,1
6.7627,18,3,0.09,0,0,1,27,729,1
5.7038,16,3,0.09,0,0,1,25,625,1
6.5806,12,14,1.96,0,0,1,32,1024,1
6.7523,12,16,2.56,0,0,1,34,1156,1
6.6039,10,14,1.96,0,0,1,30,900,1
6.9641,17,8,0.64,1,0,1,31,961,1
6.271,12,14,1.96,1,0,1,32,1024,1
6.3491,11,17,2.89,0,0,1,34,1156,1
6.6908,12,14,1.96,0,0,0,32,1024,1
5.9915,10,14,1.96,0,0,1,30,900,1
6.869,18,5,0.25,0,0,1,29,841,1
6.7056,18,3,0.09,0,0,1,27,729,1
6.6067,13,9,0.81,0,0,1,28,784,1
6.5806,18,6,0.36,0,0,1,30,900,1
6.8167,18,0,0.0,0,0,1,24,576,1
5.9375,17,4,0.16,0,0,1,27,729,1
5.8579,14,6,0.36,0,0,1,26,676,1
6.5425,11,16,2.56,0,0,1,33,1089,1
6.9217,12,14,1.96,0,1,1,32,1024,1
7.0353,18,10,1.0,0,0,1,34,1156,1
7.4437,18,6,0.36,0,0,1,30,900,1
6.271,12,8,0.64,0,0,1,26,676,1
6.5117,17,9,0.81,1,0,1,32,1024,1
6.9177,17,5,0.25,0,0,1,28,784,1
6.7405,18,4,0.16,0,0,1,28,784,1
6.5653,11,10,1.0,0,0,1,27,729,1
6.7093,16,4,0.16,0,0,0,26,676,1
6.1026,12,6,0.36,0,0,1,24,576,1
6.2146,15,4,0.16,0,0,1,25,625,1
6.9556,16,9,0.81,0,0,1,31,961,1
7.0917,18,5,0.25,0,0,1,29,841,1
6.5367,12,15,2.25,0,0,1,33,1089,1
6.4739,16,6,0.36,0,0,1,28,784,1
6.7742,13,11,1.21,0,0,1,30,900,1
6.3063,17,2,0.04,0,0,1,25,625,1
6.3969,7,15,2.25,0,0,1,28,784,1
7.716,15,13,1.69,0,0,1,34,1156,1
7.2738,12,13,1.69,0,0,1,31,961,1
5.7683,12,16,2.56,1,0,1,34,1156,1
7.1405,18,9,0.81,0,0,1,33,1089,1
6.3969,12,6,0.36,0,0,1,24,576,1
5.7038,11,9,0.81,1,0,1,26,676,1
6.2879,16,2,0.04,0,0,1,24,576,1
6.612,12,15,2.25,0,0,0,33,1089,1
6.7405,12,15,2.25,0,0,1,33,1089,1
6.7007,16,7,0.49,0,0,1,29,841,1
6.9078,12,10,1.0,0,0,1,28,784,1
6.3297,16,4,0.16,0,0,1,26,676,1
5.6525,18,2,0.04,0,0,1,26,676,1
6.0799,16,5,0.25,0,0,1,27,729,1
5.7838,13,6,0.36,0,0,1,25,625,1
6.363,16,6,0.36,0,0,1,28,784,1
6.3767,16,4,0.16,1,0,1,26,676,1
6.6859,18,5,0.25,0,0,1,29,841,1
5.743,14,5,0.25,0,0,1,25,625,1
5.5215,12,11,1.21,1,0,1,29,841,1
6.2146,15,6,0.36,1,0,1,27,729,1
6.6201,12,15,2.25,1,0,1,33,1089,1
5.8377,13,12,1.44,0,1,1,31,961,1
5.5215,15,7,0.49,0,0,1,28,784,1
6.5511,16,2,0.04,0,0,1,24,576,1
5.9915,12,7,0.49,0,0,1,25,625,1
6.319,17,4,0.16,0,0,1,27,729,1
6.5497,15,7,0.49,0,0,1,28,784,1
7.5616,14,4,0.16,0,0,1,24,576,1
7.1033,18,8,0.64,0,0,1,32,1024,1
6.4216,16,7,0.49,0,0,1,29,841,1
6.6134,14,5,0.25,0,0,1,25,625,1
6.1269,16,2,0.04,0,0,1,24,576,1
6.4723,18,1,0.01,0,0,1,25,625,1
6.6134,12,7,0.49,0,0,1,25,625,1
6.7032,16,3,0.09,0,1,1,25,625,1
6.7627,16,9,0.81,0,0,1,31,961,1
6.2953,12,10,1.0,0,0,1,28,784,1
5.8999,13,8,0.64,0,0,1,27,729,1
6.0331,10,8,0.64,0,0,1,24,576,1
6.4877,16,5,0.25,0,0,1,27,729,1
6.271,15,5,0.25,0,0,1,26,676,1
6.7464,17,6,0.36,0,0,1,29,841,1
6.4968,12,7,0.49,0,0,1,25,625,1
6.271,16,2,0.04,0,0,1,24,576,1
6.7901,18,4,0.16,0,0,1,28,784,1
6.7627,17,5,0.25,0,1,1,28,784,1
5.4424,18,2,0.04,0,1,1,26,676,1
6.6871,12,14,1.96,0,1,0,32,1024,1
6.2785,13,8,0.64,0,0,1,27,729,1
6.6529,15,4,0.16,1,0,1,25,625,1
6.1654,14,4,0.16,1,0,1,24,576,1
6.7627,16,11,1.21,0,0,1,33,1089,1
6.9217,16,6,0.36,0,0,0,28,784,1
6.463,18,8,0.64,0,0,1,32,1024,1
5.8081,16,2,0.04,0,0,1,24,576,1
6.3208,11,17,2.89,1,0,1,34,1156,1
6.2691,18,2,0.04,0,0,1,26,676,1
6.4536,12,8,0.64,0,0,1,26,676,1
6.2146,11,10,1.0,1,1,1,27,729,1
7.051,16,12,1.44,1,0,1,34,1156,1
6.7511,18,2,0.04,0,0,1,26,676,1
6.1717,12,10,1.0,0,0,0,28,784,1
6.7056,18,1,0.01,0,1,1,25,625,1
6.5396,18,5,0.25,0,0,1,29,841,1
6.8967,16,11,1.21,0,0,0,33,1089,1
6.1026,16,9,0.81,0,1,1,31,961,1
6.9098,18,10,1.0,0,0,1,34,1156,1
7.1237,18,10,1.0,0,0,1,34,1156,1
6.8255,14,12,1.44,0,0,0,32,1024,1
6.3474,12,10,1.0,0,0,1,28,784,1
6.2634,12,13,1.69,0,0,1,31,961,1
7.051,12,10,1.0,0,0,1,28,784,1
6.1738,12,6,0.36,1,0,1,24,576,1
6.7322,11,7,0.49,0,0,1,24,576,1
7.2457,14,13,1.69,0,0,1,33,1089,1
5.9915,13,8,0.64,1,0,1,27,729,1
6.5653,12,15,2.25,0,0,1,33,1089,1
6.4536,14,4,0.16,0,0,1,24,576,1
5.961,13,7,0.49,0,0,1,26,676,1
6.5338,12,8,0.64,0,0,1,26,676,1
6.4457,12,16,2.56,0,0,1,34,1156,1
6.9508,15,13,1.69,0,0,1,34,1156,1
6.3578,12,6,0.36,0,0,1,24,576,1
6.2146,12,7,0.49,0,0,1,25,625,1
6.6606,12,16,2.56,0,0,0,34,1156,1
6.3578,13,7,0.49,0,0,1,26,676,1
6.2634,13,6,0.36,0,0,1,25,625,1
5.9532,17,5,0.25,0,0,1,28,784,1
6.4378,12,11,1.21,0,0,1,29,841,1
6.4378,16,6,0.36,0,0,1,28,784,1
6.1633,13,7,0.49,0,0,1,26,676,1
6.4907,14,5,0.25,0,0,1,25,625,1
6.0521,16,2,0.04,0,0,1,24,576,1
